Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,507,261,2.89,2.74,16.13,15.7
Kanal D,354,150,2.01,1.57,11.24,9.02
Antena 1,345,170,1.96,1.78,10.96,10.21
Romania TV,277,143,1.58,1.5,8.81,8.62
Antena 3,174,112,0.99,1.18,5.52,6.76
TVR 1,74,33,0.42,0.34,2.36,1.97
National TV,70,31,0.4,0.33,2.23,1.88
Digi 24,68,49,0.39,0.52,2.16,2.96
DigiSport 1,62,44,0.35,0.47,1.97,2.67
Prima TV,59,25,0.34,0.26,1.88,1.5
Realitatea Plus,55,29,0.31,0.31,1.75,1.76
B1TV,50,27,0.29,0.28,1.6,1.64
Happy Channel,50,28,0.29,0.29,1.59,1.67
Nickelodeon,50,23,0.28,0.24,1.59,1.38
TVR 2,46,22,0.26,0.23,1.45,1.34
Diva,44,34,0.25,0.35,1.39,2.02
Antena Stars,44,17,0.25,0.18,1.39,1
Pro Cinema,43,19,0.24,0.2,1.36,1.17
Pro 2,38,17,0.21,0.18,1.2,1.04
Cartoon Network,35,16,0.2,0.16,1.12,0.95
Boomerang,34,15,0.2,0.16,1.09,0.91
Disney,28,12,0.16,0.13,0.9,0.73
ETNO,25,9,0.14,0.09,0.81,0.53
Film Cafe,25,14,0.14,0.14,0.79,0.82
Disney Junior,25,15,0.14,0.16,0.78,0.91
Minimax,24,10,0.14,0.11,0.78,0.62
AXN,24,14,0.14,0.14,0.77,0.83
TNT,17,11,0.1,0.12,0.56,0.67
Nick JR,17,7,0.1,0.07,0.54,0.4
Nicktoons,17,10,0.1,0.1,0.53,0.57
DigiSport 2,15,10,0.09,0.11,0.49,0.62
Pro X,14,8,0.08,0.09,0.44,0.49
AMC,14,9,0.08,0.09,0.45,0.53
Eurosport 1,13,9,0.07,0.1,0.4,0.57
History,13,10,0.07,0.11,0.42,0.6
Paramount,13,10,0.08,0.1,0.43,0.58
Bollywood TV,13,7,0.07,0.08,0.41,0.44
Favorit TV,12,5,0.07,0.05,0.39,0.3
TLC,12,9,0.07,0.1,0.38,0.56
Look Plus,12,5,0.07,0.05,0.4,0.31
TV1000,12,7,0.07,0.07,0.38,0.43
Comedy Central,11,9,0.06,0.09,0.34,0.53
National Geographic,10,6,0.05,0.07,0.3,0.38
Kiss TV,9,5,0.05,0.05,0.29,0.29
Pro Gold,9,5,0.05,0.05,0.3,0.3
TV Paprika,9,6,0.05,0.06,0.29,0.37
Discovery,8,6,0.04,0.07,0.25,0.38
N24 PLUS,8,2,0.05,0.02,0.27,0.13
National Geographic Wild,8,4,0.05,0.04,0.25,0.26
HGTV,8,7,0.04,0.07,0.24,0.42
TVR 3,7,4,0.04,0.04,0.22,0.21
Taraf TV,6,2,0.04,0.03,0.2,0.15
Eurosport 2,6,4,0.03,0.04,0.19,0.25
ZU TV,5,2,0.03,0.02,0.14,0.12
Telekom Sport 1,5,3,0.03,0.03,0.16,0.19
DigiSport 3,5,4,0.03,0.04,0.16,0.22
Music Channel,4,3,0.02,0.03,0.13,0.15
AXN Black,4,2,0.02,0.02,0.13,0.13
AXN White,4,3,0.02,0.03,0.13,0.17
U TV,3,2,0.02,0.02,0.11,0.14
Hit Music,3,3,0.02,0.03,0.1,0.15
Look Sport,3,1,0.02,0.01,0.09,0.06
Magic TV,3,3,0.02,0.03,0.11,0.17
Travel Channel,3,3,0.02,0.03,0.11,0.17
JIM JAM,3,2,0.02,0.02,0.11,0.11
E! Entertainment,2,1,0.01,0.01,0.05,0.08
DigiSport 4,2,2,0.01,0.02,0.08,0.12
Duck TV,2,1,0.01,0.01,0.05,0.08
Rock TV,0,0,0,0,0.01,0.03
Telekom Sport 3,0,0,0,0,0.01,0.01
Canal 33,0,0,0,0,0.01,0.02
