Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,605,333,3.28,3.3,16.18,15.45
Antena 1,457,263,2.48,2.6,12.24,12.18
Kanal D,316,161,1.71,1.59,8.45,7.46
Antena 3,228,164,1.23,1.63,6.1,7.62
Romania TV,176,101,0.95,1,4.71,4.68
TVR 1,124,58,0.67,0.58,3.32,2.71
Acasa,114,79,0.62,0.78,3.04,3.67
National TV,109,59,0.59,0.59,2.92,2.74
Prima TV,95,51,0.52,0.51,2.55,2.39
Antena Stars,81,50,0.44,0.49,2.17,2.31
B1TV,75,50,0.41,0.5,2,2.32
Disney,69,34,0.38,0.34,1.85,1.57
TVR 2,63,28,0.34,0.28,1.68,1.3
Cartoon Network,54,28,0.29,0.28,1.43,1.3
Realitatea TV,48,27,0.26,0.27,1.3,1.27
Digi 24,47,40,0.26,0.4,1.26,1.87
ETNO,42,16,0.23,0.16,1.11,0.74
Pro Cinema,42,25,0.23,0.25,1.14,1.18
Disney Junior,38,27,0.21,0.27,1.01,1.25
Boomerang,36,18,0.2,0.18,0.97,0.83
AXN,29,24,0.16,0.23,0.77,1.09
Sport.ro,28,14,0.15,0.14,0.74,0.65
Nickelodeon,26,18,0.14,0.18,0.71,0.84
Minimax/A+,22,7,0.12,0.07,0.6,0.32
Diva,23,19,0.12,0.19,0.61,0.88
Dolce Sport,21,5,0.12,0.05,0.57,0.24
Kiss TV,18,9,0.1,0.09,0.48,0.42
Favorit TV,19,8,0.1,0.08,0.51,0.38
Euforia,17,14,0.09,0.13,0.46,0.63
Taraf TV,16,4,0.09,0.04,0.44,0.2
History Channel,16,13,0.09,0.13,0.44,0.62
Eurosport,13,10,0.07,0.1,0.36,0.48
ZU TV,12,6,0.07,0.06,0.33,0.27
Paramount,13,11,0.07,0.11,0.36,0.51
Discovery,11,7,0.06,0.07,0.29,0.31
National Geographic,10,8,0.06,0.08,0.27,0.36
Film Cafe,9,6,0.05,0.06,0.23,0.26
EuroSport 2,9,7,0.05,0.07,0.25,0.32
TCM,8,5,0.05,0.05,0.23,0.24
U TV,7,5,0.04,0.05,0.19,0.24
National Geographic Wild,8,4,0.04,0.04,0.21,0.21
AXN White,7,5,0.04,0.05,0.18,0.22
Acasa Gold,7,4,0.04,0.04,0.18,0.17
TV Paprika,8,7,0.04,0.07,0.22,0.33
National 24 PLUS,6,2,0.03,0.02,0.15,0.09
Music Channel,5,3,0.03,0.03,0.13,0.16
Animal Planet,5,4,0.03,0.04,0.14,0.17
The Fishing and Hunting Channel,5,3,0.03,0.03,0.14,0.14
AMC,5,2,0.03,0.02,0.13,0.11
MTV Ro,4,3,0.02,0.03,0.12,0.14
AXN Black,4,3,0.02,0.03,0.11,0.12
TLC,3,3,0.02,0.03,0.08,0.12
TV H,4,2,0.02,0.02,0.12,0.07
Comedy Central Extra,4,3,0.02,0.03,0.09,0.13
CBS Reality,1,1,0.01,0.01,0.04,0.05
Hit Music,2,2,0.01,0.02,0.06,0.1
Others,496,284,2.69,2.81,13.27,13.17
