Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,752,389,4.19,3.99,17.51,17.12
Antena 1,673,328,3.75,3.37,15.66,14.46
Kanal D,492,227,2.74,2.33,11.44,10.02
Romania TV,238,145,1.32,1.49,5.53,6.41
Antena 3,224,141,1.25,1.45,5.2,6.22
Prima TV,124,58,0.69,0.6,2.9,2.57
National TV,123,54,0.69,0.56,2.87,2.39
TVR 1,98,42,0.54,0.43,2.27,1.84
Antena Stars,97,47,0.54,0.49,2.25,2.09
Disney,83,37,0.46,0.38,1.94,1.65
Acasa,81,43,0.45,0.45,1.88,1.91
Pro Cinema,64,30,0.36,0.3,1.49,1.3
B1TV,62,39,0.35,0.4,1.45,1.7
ETNO,58,17,0.33,0.17,1.36,0.75
Cartoon Network,57,27,0.32,0.28,1.32,1.19
Minimax,56,22,0.31,0.22,1.31,0.96
Disney Junior,54,38,0.3,0.39,1.26,1.68
Digi 24,50,40,0.28,0.41,1.16,1.75
AXN,48,32,0.27,0.32,1.12,1.39
Realitatea TV,45,29,0.25,0.3,1.05,1.29
TVR 2,43,25,0.24,0.26,1,1.11
DigiSport 1,43,33,0.24,0.34,0.99,1.44
Favorit TV,34,8,0.19,0.09,0.79,0.37
Boomerang,35,19,0.19,0.19,0.81,0.83
Happy Channel,31,19,0.18,0.19,0.73,0.84
Diva,30,24,0.17,0.25,0.7,1.06
Nickelodeon,28,17,0.16,0.18,0.66,0.76
Sport.ro,27,15,0.15,0.15,0.64,0.65
Paramount,27,16,0.15,0.17,0.62,0.71
Film Cafe,19,11,0.11,0.11,0.44,0.47
Taraf TV,16,5,0.09,0.05,0.38,0.23
Dolce Sport,17,7,0.09,0.08,0.39,0.33
Kiss TV,15,9,0.08,0.09,0.35,0.38
Eurosport 1,13,9,0.08,0.09,0.31,0.38
National Geographic Wild,12,6,0.07,0.06,0.27,0.27
Comedy Central,12,11,0.07,0.11,0.29,0.47
TNT,13,6,0.07,0.07,0.29,0.28
National Geographic,12,8,0.06,0.08,0.27,0.35
TV Paprika,11,7,0.06,0.07,0.26,0.31
ZU TV,9,3,0.05,0.03,0.21,0.14
Acasa Gold,10,3,0.05,0.04,0.22,0.15
History Channel,9,6,0.05,0.07,0.21,0.28
DigiSport 2,10,8,0.05,0.08,0.22,0.36
Discovery,8,5,0.04,0.05,0.18,0.21
AMC,7,4,0.04,0.04,0.15,0.16
National 24 PLUS,5,2,0.03,0.02,0.12,0.11
U TV,5,4,0.03,0.04,0.11,0.16
Music Channel,5,3,0.03,0.03,0.11,0.14
Animal Planet,5,3,0.03,0.03,0.11,0.12
AXN White,5,3,0.03,0.03,0.12,0.14
EuroSport 2,6,5,0.03,0.05,0.14,0.2
AXN Black,4,3,0.02,0.03,0.08,0.12
TLC,3,2,0.02,0.02,0.08,0.07
Hit Music,3,2,0.02,0.02,0.07,0.1
Dolce Sport 2,4,2,0.02,0.02,0.09,0.07
MTV Ro,2,1,0.01,0.01,0.05,0.03
TV Neptun,2,1,0.01,0.01,0.05,0.04
TV H,2,1,0.01,0.01,0.05,0.04
Nasul TV,2,1,0.01,0.01,0.04,0.04
