Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,167,73,0.88,0.69,4.22,3.19
TVR 2,52,26,0.28,0.24,1.32,1.12
Pro TV,586,334,3.08,3.19,14.83,14.68
Antena 1,506,309,2.66,2.94,12.8,13.55
Acasa,177,88,0.93,0.84,4.47,3.86
Prima TV,141,72,0.74,0.69,3.58,3.16
Kiss TV,22,14,0.12,0.14,0.56,0.62
Disney,97,54,0.51,0.51,2.46,2.36
Discovery,14,8,0.07,0.07,0.34,0.34
Eurosport,16,13,0.08,0.12,0.4,0.56
MTV Ro,11,8,0.06,0.08,0.28,0.37
B1TV,74,49,0.39,0.46,1.87,2.14
Minimax/A+,37,14,0.19,0.13,0.93,0.6
Realitatea TV,85,45,0.45,0.43,2.15,1.98
National Geographic,17,12,0.09,0.12,0.42,0.54
ETNO,78,31,0.41,0.3,1.97,1.38
Diva Universal,23,18,0.12,0.18,0.57,0.81
Cartoon Network,46,22,0.24,0.21,1.17,0.98
Sport.ro,37,21,0.19,0.2,0.93,0.93
National TV,151,83,0.79,0.79,3.82,3.62
Pro Cinema,39,21,0.2,0.2,0.98,0.92
National 24 PLUS,8,6,0.04,0.05,0.21,0.24
Favorit TV,23,10,0.12,0.09,0.59,0.42
AXN,37,26,0.19,0.25,0.94,1.16
Antena 3,176,129,0.93,1.23,4.45,5.66
U TV,11,7,0.06,0.07,0.28,0.3
Euforia,18,15,0.09,0.15,0.46,0.67
Film Cafe,19,16,0.1,0.15,0.48,0.68
Kanal D,298,157,1.57,1.5,7.55,6.92
Antena 2,43,28,0.23,0.26,1.09,1.21
Sport 1/Megamax,1,1,0.01,0.01,0.03,0.03
MGM,7,4,0.03,0.04,0.17,0.19
Taraf TV,24,11,0.12,0.1,0.6,0.48
TV Neptun,5,2,0.02,0.02,0.12,0.1
CBS Reality,3,2,0.01,0.02,0.06,0.1
National Geographic Wild,7,5,0.04,0.05,0.19,0.23
Music Channel,9,5,0.05,0.05,0.23,0.22
gspTV,15,8,0.08,0.07,0.37,0.33
Animal Planet,6,3,0.03,0.03,0.14,0.15
AXN Sci Fi,4,3,0.02,0.03,0.11,0.15
AXN Crime,6,5,0.03,0.05,0.15,0.21
Universal Channel,21,14,0.11,0.14,0.53,0.62
Mynele TV,13,4,0.07,0.04,0.32,0.18
EuroSport 2,8,6,0.04,0.05,0.19,0.25
TCM,10,6,0.05,0.06,0.25,0.27
TLC,3,2,0.02,0.02,0.07,0.1
Dolce Sport,15,5,0.08,0.05,0.37,0.23
Boomerang,33,20,0.17,0.19,0.84,0.86
Romania TV,104,62,0.55,0.6,2.64,2.74
Others,560,342,2.95,3.26,14.18,15.01
TVH2O,2,1,0.01,0.01,0.04,0.03
Disney Junior,45,29,0.23,0.28,1.13,1.27
Hit Music,3,3,0.02,0.03,0.08,0.13
Acasa Gold,10,3,0.05,0.03,0.24,0.15
Transilvania Live - 31.01.2013,0,0,0,0,0,0
Look TV,4,2,0.02,0.02,0.11,0.1
TV Paprika,7,6,0.04,0.05,0.19,0.25
History Channel,16,13,0.08,0.13,0.4,0.58
PV TV,5,2,0.03,0.02,0.12,0.08
