Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,234,87,1.2,0.8,4.2,3
TVR 2,90,41,0.5,0.4,1.6,1.4
Pro TV,834,423,4.4,4,14.8,14.6
Antena 1,722,389,3.8,3.7,12.9,13.4
Acasa,168,87,0.9,0.8,3,3
Prima TV,228,104,1.2,1,4.1,3.6
Kiss TV,26,16,0.1,0.2,0.5,0.6
Disney,130,70,0.7,0.7,2.3,2.4
Discovery,21,8,0.1,0.1,0.4,0.3
Eurosport,29,21,0.2,0.2,0.5,0.7
MTV Ro,10,7,0.1,0.1,0.2,0.2
B1TV,128,76,0.7,0.7,2.3,2.6
OTV,29,14,0.2,0.1,0.5,0.5
Minimax/A+,66,18,0.3,0.2,1.2,0.6
Realitatea TV,131,66,0.7,0.6,2.3,2.3
National Geographic,24,16,0.1,0.2,0.4,0.6
ETNO,106,37,0.6,0.4,1.9,1.3
Diva Universal,26,21,0.1,0.2,0.5,0.7
Cartoon Network,72,30,0.4,0.3,1.3,1
Sport.ro,42,20,0.2,0.2,0.7,0.7
National TV,170,87,0.9,0.8,3,3
Pro Cinema,51,28,0.3,0.3,0.9,1
National 24 PLUS,22,12,0.1,0.1,0.4,0.4
Favorit TV,37,12,0.2,0.1,0.7,0.4
AXN,29,20,0.2,0.2,0.5,0.7
Antena 3,298,201,1.6,1.9,5.3,7
U TV,13,8,0.1,0.1,0.2,0.3
Euforia,25,21,0.1,0.2,0.4,0.7
Film Cafe,18,12,0.1,0.1,0.3,0.4
Kanal D,461,211,2.4,2,8.2,7.3
Antena 2,69,41,0.4,0.4,1.2,1.4
Sport 1/Megamax,1,1,0,0,0,0
MGM,11,6,0.1,0.1,0.2,0.2
Taraf TV,31,16,0.2,0.1,0.6,0.5
TV Neptun,3,2,0,0,0.1,0.1
CBS Reality,5,4,0,0,0.1,0.1
National Geographic Wild,12,8,0.1,0.1,0.2,0.3
Music Channel,14,7,0.1,0.1,0.2,0.2
gspTV,13,6,0.1,0.1,0.2,0.2
Animal Planet,9,4,0,0,0.2,0.1
AXN Sci Fi,7,5,0,0,0.1,0.2
AXN Crime,7,4,0,0,0.1,0.1
Universal Channel,19,14,0.1,0.1,0.3,0.5
Mynele TV,12,4,0.1,0,0.2,0.1
EuroSport 2,11,8,0.1,0.1,0.2,0.3
TCM,16,8,0.1,0.1,0.3,0.3
TLC,2,1,0,0,0,0
Dolce Sport,6,1,0,0,0.1,0
Boomerang,54,29,0.3,0.3,1,1
Romania TV,194,113,1,1.1,3.5,3.9
Others,776,395,4.1,3.8,13.8,13.6
TVH2O,2,1,0,0,0,0
Disney Junior,56,34,0.3,0.3,1,1.2
GiGa TV,3,1,0,0,0.1,0
Hit Music,5,4,0,0,0.1,0.1
Acasa Gold,15,4,0.1,0,0.3,0.1
Transilvania Live,5,2,0,0,0.1,0.1
Look TV,4,2,0,0,0.1,0.1
TV Paprika,11,7,0.1,0.1,0.2,0.3
