Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,762,363,4.32,3.79,18.87,18.08
Antena 1,618,279,3.51,2.91,15.3,13.9
Kanal D,368,149,2.09,1.55,9.1,7.4
Romania TV,321,166,1.82,1.74,7.94,8.28
Antena 3,193,118,1.1,1.23,4.78,5.86
TVR 1,85,40,0.48,0.42,2.1,2.01
Realitatea Plus,82,42,0.46,0.44,2.02,2.08
Happy Channel,78,41,0.44,0.43,1.93,2.06
National TV,75,35,0.42,0.36,1.85,1.74
Antena Stars,73,36,0.41,0.37,1.8,1.78
Prima TV,72,35,0.41,0.37,1.79,1.74
Digi 24,67,46,0.38,0.48,1.66,2.28
DigiSport 1,62,38,0.35,0.4,1.54,1.9
TVR 2,58,30,0.33,0.31,1.44,1.49
Pro Cinema,56,23,0.32,0.24,1.39,1.15
Diva,52,37,0.29,0.38,1.28,1.83
Cartoon Network,39,11,0.22,0.11,0.97,0.54
B1TV,35,19,0.2,0.2,0.87,0.96
Boomerang,35,13,0.2,0.13,0.86,0.64
Nickelodeon,35,15,0.2,0.16,0.86,0.75
Film Cafe,33,17,0.18,0.18,0.81,0.84
Pro 2,32,15,0.18,0.16,0.8,0.76
ETNO,32,9,0.18,0.1,0.8,0.47
AXN,31,18,0.18,0.19,0.77,0.89
Disney Junior,26,13,0.15,0.14,0.65,0.65
AMC,23,11,0.13,0.12,0.56,0.56
Favorit TV,21,6,0.12,0.06,0.52,0.31
History,20,12,0.11,0.13,0.5,0.62
Warner TV,20,11,0.12,0.12,0.5,0.55
Nick JR,19,10,0.11,0.1,0.48,0.48
Minimax,18,5,0.1,0.05,0.44,0.26
Disney,16,8,0.09,0.09,0.41,0.41
Nicktoons,16,5,0.09,0.05,0.39,0.24
Eurosport 1,15,10,0.09,0.11,0.38,0.52
TV1000,14,9,0.08,0.09,0.35,0.45
Cinemaraton,14,8,0.08,0.08,0.35,0.38
Taraf TV,13,3,0.08,0.03,0.33,0.13
Pro Gold,13,7,0.08,0.07,0.33,0.35
TeenNick,13,10,0.07,0.1,0.31,0.47
Discovery,12,9,0.07,0.09,0.29,0.45
National Geographic,12,7,0.07,0.08,0.29,0.37
Comedy Central,12,10,0.07,0.11,0.3,0.52
Pro X,11,6,0.06,0.06,0.27,0.3
National Geographic Wild,11,7,0.06,0.07,0.28,0.33
DigiSport 2,11,7,0.06,0.07,0.28,0.32
Bollywood TV,11,6,0.06,0.06,0.27,0.31
TLC,10,6,0.05,0.06,0.24,0.28
Look Sport+,9,4,0.05,0.04,0.21,0.19
TV Paprika,9,6,0.05,0.06,0.21,0.3
Viasat History,9,8,0.05,0.09,0.23,0.41
N24 PLUS,8,3,0.05,0.03,0.2,0.16
Eurosport 2,8,5,0.05,0.06,0.2,0.27
Kiss TV,7,4,0.04,0.04,0.16,0.18
AXN White,7,5,0.04,0.05,0.17,0.24
DigiSport 3,7,4,0.04,0.05,0.17,0.22
ZU TV,6,4,0.03,0.04,0.15,0.18
HGTV,6,5,0.03,0.05,0.15,0.24
AXN Black,5,2,0.03,0.03,0.12,0.12
U TV,4,2,0.02,0.02,0.09,0.11
Telekom Sport 1,4,2,0.02,0.02,0.1,0.11
Look Sport,4,2,0.02,0.02,0.09,0.09
JIM JAM,4,2,0.02,0.02,0.1,0.1
Aleph News,4,2,0.02,0.02,0.1,0.11
Magic TV,3,2,0.02,0.02,0.07,0.09
DigiSport 4,3,2,0.01,0.02,0.06,0.09
Travel Channel,3,2,0.02,0.02,0.07,0.08
Duck TV,3,2,0.01,0.02,0.06,0.1
Music Channel,2,1,0.01,0.01,0.05,0.05
E! Entertainment,2,1,0.01,0.01,0.05,0.06
A7 TV,2,1,0.01,0.01,0.04,0.07
Hit Music,1,1,0.01,0.01,0.03,0.05
Rock TV,1,0,0,0,0.02,0.02
Telekom Sport 3,1,1,0,0.01,0.02,0.03
Metropola TV,1,1,0,0.01,0.02,0.03
