Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,601,326,3.34,3.35,18.02,18.41
Kanal D,322,142,1.79,1.46,9.64,8.02
Antena 1,303,157,1.69,1.62,9.1,8.89
Romania TV,252,141,1.4,1.45,7.57,7.99
Antena 3,176,114,0.98,1.17,5.28,6.42
Prima TV,95,44,0.53,0.45,2.86,2.48
National TV,89,39,0.5,0.4,2.68,2.2
TVR 1,85,38,0.47,0.39,2.53,2.12
Antena Stars,79,37,0.44,0.38,2.36,2.1
Disney,78,29,0.43,0.3,2.34,1.65
Disney Junior,60,32,0.33,0.33,1.8,1.79
B1TV,56,35,0.31,0.36,1.67,1.97
Cartoon Network,55,27,0.3,0.28,1.64,1.54
DigiSport 1,51,38,0.28,0.39,1.52,2.16
Pro 2,49,21,0.27,0.22,1.46,1.19
Pro Cinema,46,23,0.26,0.24,1.39,1.3
TVR 2,46,27,0.25,0.27,1.37,1.51
Realitatea TV,42,28,0.23,0.29,1.25,1.59
Boomerang,39,21,0.22,0.22,1.17,1.19
Nickelodeon,39,17,0.22,0.17,1.16,0.94
ETNO,39,10,0.21,0.11,1.16,0.59
AXN,36,25,0.2,0.26,1.08,1.41
Digi 24,36,28,0.2,0.28,1.07,1.56
Minimax,35,11,0.19,0.11,1.04,0.62
Happy Channel,30,18,0.17,0.19,0.89,1.03
Diva,24,17,0.13,0.18,0.71,0.98
Paramount,24,16,0.13,0.16,0.71,0.9
Favorit TV,22,6,0.12,0.07,0.66,0.36
Kiss TV,19,9,0.11,0.09,0.58,0.49
Pro X,20,10,0.11,0.1,0.59,0.54
DigiSport 2,20,16,0.11,0.17,0.6,0.92
Nick JR,19,3,0.11,0.03,0.57,0.18
TLC,18,9,0.1,0.1,0.55,0.53
Dolce Sport,18,6,0.1,0.06,0.53,0.33
Film Cafe,16,10,0.09,0.1,0.49,0.57
Comedy Central,14,12,0.08,0.12,0.42,0.66
Eurosport 1,13,9,0.07,0.09,0.38,0.5
ZU TV,13,4,0.07,0.04,0.39,0.23
History,12,10,0.07,0.1,0.36,0.55
TNT,12,7,0.07,0.07,0.36,0.39
National Geographic,10,8,0.06,0.08,0.3,0.42
Pro Gold,11,4,0.06,0.04,0.34,0.21
Discovery,9,7,0.05,0.07,0.28,0.38
Taraf TV,10,2,0.05,0.02,0.29,0.11
Bollywood TV,9,5,0.05,0.05,0.27,0.28
National Geographic Wild,8,4,0.04,0.05,0.23,0.25
Music Channel,6,2,0.04,0.02,0.19,0.13
EuroSport 2,6,4,0.04,0.05,0.19,0.25
TV Paprika,7,6,0.04,0.06,0.22,0.34
U TV,6,4,0.03,0.04,0.18,0.21
National 24 PLUS,4,2,0.02,0.02,0.13,0.1
Animal Planet,3,1,0.02,0.01,0.1,0.08
AXN Black,3,2,0.02,0.02,0.08,0.09
AXN White,3,2,0.02,0.02,0.09,0.13
TV H,4,1,0.02,0.01,0.13,0.07
Hit Music,3,3,0.02,0.03,0.09,0.14
AMC,4,3,0.02,0.03,0.11,0.15
Dolce Sport 2,4,2,0.02,0.02,0.12,0.09
TV Neptun,2,1,0.01,0.01,0.06,0.04
Nasul TV,2,1,0.01,0.01,0.05,0.05
E! Entertainment,2,2,0.01,0.02,0.06,0.1
