Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,487,266,2.63,2.65,13.38,12.89
Antena 1,449,255,2.42,2.54,12.34,12.36
Antena 3,305,218,1.65,2.17,8.39,10.55
Kanal D,180,95,0.97,0.95,4.96,4.61
Romania TV,179,97,0.97,0.97,4.91,4.72
TVR 1,135,57,0.73,0.57,3.71,2.77
National TV,120,65,0.65,0.65,3.3,3.16
Disney,115,52,0.62,0.52,3.18,2.53
Prima TV,96,56,0.52,0.56,2.64,2.71
B1TV,93,56,0.5,0.56,2.56,2.73
Acasa,90,54,0.48,0.54,2.46,2.63
Realitatea TV,86,46,0.46,0.46,2.37,2.23
Antena Stars,64,39,0.35,0.39,1.77,1.88
TVR 2,59,27,0.32,0.27,1.63,1.3
Cartoon Network,58,24,0.31,0.24,1.6,1.18
ETNO,51,21,0.27,0.21,1.4,1.01
Disney Junior,39,25,0.21,0.25,1.07,1.21
Boomerang,37,21,0.2,0.21,1.01,1
Sport.ro,33,15,0.18,0.15,0.92,0.75
Nickelodeon,33,21,0.18,0.21,0.89,1.03
Minimax/A+,31,9,0.17,0.09,0.86,0.45
Digi 24,32,27,0.17,0.26,0.89,1.29
Pro Cinema,29,19,0.16,0.19,0.81,0.94
AXN,28,21,0.15,0.2,0.77,1
Favorit TV,22,9,0.12,0.09,0.62,0.42
Diva Universal,21,15,0.11,0.15,0.58,0.75
Kiss TV,19,10,0.1,0.1,0.53,0.47
Euforia,18,15,0.1,0.15,0.51,0.71
Dolce Sport,17,4,0.09,0.04,0.47,0.2
History Channel,16,12,0.09,0.12,0.44,0.58
Eurosport,14,12,0.08,0.11,0.4,0.56
Discovery,13,7,0.07,0.07,0.35,0.34
Taraf TV,12,6,0.07,0.06,0.34,0.28
National Geographic,12,9,0.06,0.09,0.33,0.44
ZU TV,11,6,0.06,0.05,0.31,0.27
Universal Channel,11,8,0.06,0.08,0.3,0.39
U TV,8,6,0.05,0.06,0.23,0.29
Film Cafe,10,6,0.05,0.06,0.27,0.28
National Geographic Wild,9,5,0.05,0.05,0.25,0.24
EuroSport 2,9,7,0.05,0.07,0.26,0.34
TCM,10,5,0.05,0.05,0.28,0.24
Paramount,10,9,0.05,0.09,0.26,0.42
MTV Ro,8,5,0.04,0.05,0.21,0.25
Mynele TV,8,1,0.04,0.01,0.21,0.06
Acasa Gold,8,3,0.04,0.03,0.23,0.16
TV Paprika,8,7,0.04,0.07,0.22,0.32
Music Channel,6,4,0.03,0.04,0.17,0.17
Animal Planet,5,3,0.03,0.03,0.14,0.15
AXN Black,5,3,0.03,0.03,0.13,0.15
AXN White,5,3,0.03,0.03,0.15,0.16
TV H,5,1,0.03,0.01,0.13,0.07
The Fishing and Hunting Channel,5,3,0.03,0.03,0.15,0.15
National 24 PLUS,4,2,0.02,0.02,0.11,0.09
TV Neptun,4,2,0.02,0.02,0.12,0.11
TLC,4,3,0.02,0.03,0.1,0.14
Comedy Central Extra,4,3,0.02,0.03,0.1,0.12
Sport 1/Megamax,1,0,0.01,0,0.03,0.02
CBS Reality,2,2,0.01,0.02,0.05,0.08
Hit Music,2,2,0.01,0.02,0.06,0.1
Others,478,281,2.58,2.8,13.14,13.62
