Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,772,365,4.36,3.81,19.89,18.33
Antena 1,500,244,2.82,2.55,12.88,12.28
Kanal D,420,172,2.37,1.79,10.82,8.63
Romania TV,217,110,1.22,1.15,5.59,5.52
Antena 3,180,120,1.02,1.25,4.65,6.03
National TV,96,42,0.54,0.44,2.48,2.12
Pro 2,86,42,0.49,0.44,2.22,2.11
Prima TV,83,40,0.47,0.41,2.15,2
Antena Stars,79,37,0.45,0.38,2.04,1.84
DigiSport 1,67,49,0.38,0.51,1.72,2.47
TVR 1,66,32,0.37,0.33,1.69,1.61
Happy Channel,62,33,0.35,0.35,1.6,1.68
B1TV,60,36,0.34,0.37,1.55,1.79
Realitatea TV,60,38,0.34,0.4,1.54,1.91
Pro Cinema,60,28,0.34,0.3,1.54,1.43
ETNO,58,16,0.33,0.17,1.48,0.81
TVR 2,55,29,0.31,0.3,1.43,1.45
Cartoon Network,49,25,0.28,0.26,1.27,1.23
Digi 24,47,33,0.26,0.35,1.21,1.68
Boomerang,46,20,0.26,0.21,1.18,1
Minimax,40,19,0.22,0.2,1.02,0.97
AXN,39,24,0.22,0.25,1,1.22
Disney Junior,38,19,0.21,0.19,0.98,0.93
Nickelodeon,34,19,0.19,0.19,0.88,0.94
Diva,33,26,0.19,0.28,0.86,1.33
Disney,30,13,0.17,0.14,0.77,0.65
DigiSport 2,28,23,0.16,0.24,0.72,1.17
Favorit TV,25,10,0.14,0.11,0.66,0.52
Film Cafe,22,13,0.12,0.14,0.57,0.67
Paramount,22,15,0.12,0.15,0.57,0.74
TNT,20,10,0.12,0.11,0.53,0.51
Nick JR,19,8,0.11,0.09,0.5,0.41
History,18,16,0.1,0.16,0.47,0.78
Look Plus,17,8,0.1,0.08,0.44,0.38
Kiss TV,15,7,0.09,0.07,0.4,0.34
Pro X,14,8,0.08,0.09,0.37,0.42
Taraf TV,14,5,0.08,0.06,0.36,0.27
Comedy Central,12,10,0.07,0.11,0.3,0.53
Discovery,11,8,0.06,0.09,0.28,0.42
TLC,11,7,0.06,0.07,0.27,0.34
Pro Gold,11,5,0.06,0.05,0.28,0.23
Bollywood TV,10,5,0.06,0.05,0.26,0.24
DigiSport 3,9,6,0.05,0.06,0.22,0.3
N24 PLUS,8,3,0.05,0.03,0.21,0.16
National Geographic Wild,8,6,0.04,0.06,0.2,0.29
ZU TV,8,3,0.05,0.04,0.22,0.17
TV Paprika,8,7,0.04,0.07,0.2,0.33
AMC,8,5,0.04,0.05,0.2,0.23
Eurosport 1,7,5,0.04,0.05,0.19,0.26
Telekom Sport 1,7,3,0.04,0.03,0.18,0.14
Travel Channel,7,6,0.04,0.07,0.18,0.32
National Geographic,6,5,0.03,0.05,0.16,0.24
Look Sport,6,2,0.03,0.02,0.15,0.09
TVR 3,6,3,0.04,0.03,0.16,0.16
Music Channel,5,3,0.03,0.03,0.12,0.15
AXN Black,5,2,0.03,0.02,0.12,0.1
AXN White,5,3,0.03,0.03,0.12,0.16
Eurosport 2,5,4,0.03,0.04,0.13,0.18
U TV,4,3,0.02,0.03,0.1,0.13
DigiSport 4,4,4,0.03,0.04,0.11,0.19
Animal Planet,3,1,0.02,0.01,0.07,0.06
Telekom Sport 3,3,1,0.02,0.01,0.07,0.07
Hit Music,2,1,0.01,0.01,0.04,0.07
Nasul TV,2,1,0.01,0.01,0.04,0.04
TV H,1,1,0.01,0.01,0.04,0.04
E! Entertainment,1,1,0.01,0.01,0.02,0.04
Rock TV,0,0,0,0,0.01,0.01
Magic TV,0,0,0,0,0.01,0.01
MTV,0,0,0,0,0.01,0
VH1,0,0,0,0,0.01,0.02
