Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,195,87,1.03,0.83,3.56,3.02
TVR 2,107,52,0.56,0.49,1.95,1.78
Pro TV,866,440,4.55,4.19,15.8,15.19
Antena 1,705,379,3.71,3.61,12.86,13.09
Acasa,147,83,0.77,0.79,2.68,2.88
Prima TV,215,103,1.13,0.98,3.93,3.56
Kiss TV,25,15,0.13,0.14,0.45,0.51
Disney,109,51,0.57,0.48,1.99,1.75
Discovery,21,8,0.11,0.08,0.39,0.29
Eurosport,28,20,0.15,0.19,0.51,0.69
MTV Ro,9,6,0.04,0.06,0.16,0.2
B1TV,135,79,0.71,0.75,2.45,2.72
Minimax/A+,60,20,0.32,0.19,1.1,0.68
Realitatea TV,118,58,0.62,0.55,2.16,2
National Geographic,22,15,0.12,0.14,0.4,0.52
ETNO,96,31,0.51,0.3,1.75,1.09
Diva Universal,36,29,0.19,0.28,0.66,1
Cartoon Network,62,23,0.33,0.22,1.13,0.79
Sport.ro,39,19,0.2,0.18,0.71,0.67
National TV,159,81,0.83,0.77,2.89,2.8
Pro Cinema,49,28,0.26,0.27,0.89,0.96
National 24 PLUS,12,7,0.06,0.06,0.21,0.23
Favorit TV,35,10,0.19,0.1,0.64,0.36
AXN,50,34,0.26,0.32,0.91,1.17
Antena 3,330,207,1.73,1.97,6.01,7.15
U TV,13,9,0.07,0.09,0.25,0.31
Euforia,29,24,0.15,0.23,0.54,0.83
Film Cafe,14,7,0.07,0.07,0.26,0.26
Kanal D,334,161,1.76,1.53,6.1,5.56
Antena Stars,106,62,0.56,0.59,1.93,2.14
Sport 1/Megamax,5,4,0.02,0.04,0.09,0.15
Taraf TV,29,12,0.15,0.11,0.53,0.41
TV Neptun,7,3,0.04,0.03,0.13,0.1
CBS Reality,2,2,0.01,0.02,0.04,0.06
National Geographic Wild,14,7,0.07,0.07,0.25,0.26
Music Channel,11,6,0.06,0.06,0.21,0.22
gspTV,15,7,0.08,0.06,0.28,0.23
Animal Planet,10,5,0.05,0.04,0.18,0.16
AXN Black,6,3,0.03,0.03,0.1,0.12
AXN White,8,5,0.04,0.05,0.14,0.17
Universal Channel,21,16,0.11,0.15,0.38,0.56
Mynele TV,18,3,0.1,0.02,0.33,0.09
EuroSport 2,15,11,0.08,0.11,0.27,0.39
TCM,13,7,0.07,0.07,0.24,0.25
TLC,4,3,0.02,0.03,0.08,0.1
Dolce Sport,10,3,0.05,0.03,0.18,0.1
Boomerang,43,19,0.22,0.19,0.78,0.67
Romania TV,216,111,1.13,1.06,3.93,3.85
Others,728,400,3.82,3.81,13.27,13.83
TV H,4,2,0.02,0.02,0.08,0.07
Disney Junior,71,46,0.37,0.44,1.3,1.58
Hit Music,4,3,0.02,0.03,0.07,0.1
Acasa Gold,15,7,0.08,0.07,0.26,0.25
TV Paprika,10,8,0.05,0.07,0.18,0.26
History Channel,20,16,0.1,0.15,0.36,0.55
PV TV,7,3,0.04,0.03,0.13,0.11
VH1,1,1,0.01,0.01,0.02,0.03
Nickelodeon,46,29,0.24,0.28,0.83,1.01
Comedy Central Extra,4,4,0.02,0.03,0.08,0.12
