Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,537,303,2.9,3.01,14.49,14.17
Antena 1,477,285,2.58,2.83,12.88,13.35
Kanal D,282,148,1.53,1.47,7.63,6.91
Antena 3,280,201,1.51,2,7.58,9.41
Romania TV,160,91,0.86,0.91,4.33,4.28
TVR 1,136,60,0.73,0.6,3.67,2.83
National TV,113,62,0.61,0.62,3.05,2.92
Prima TV,98,56,0.53,0.56,2.65,2.63
Disney,95,45,0.51,0.45,2.57,2.12
Acasa,93,57,0.5,0.56,2.51,2.66
B1TV,92,60,0.5,0.59,2.49,2.79
Realitatea TV,74,44,0.4,0.43,2,2.05
Antena Stars,73,44,0.39,0.44,1.97,2.08
TVR 2,63,28,0.34,0.28,1.71,1.33
ETNO,51,18,0.28,0.17,1.39,0.82
Cartoon Network,52,24,0.28,0.23,1.4,1.1
Disney Junior,43,29,0.23,0.28,1.16,1.34
Sport.ro,34,17,0.19,0.17,0.93,0.82
Boomerang,35,21,0.19,0.21,0.95,0.97
Digi 24,34,29,0.18,0.28,0.92,1.34
Minimax/A+,30,10,0.16,0.1,0.82,0.46
Nickelodeon,30,20,0.16,0.2,0.81,0.94
Pro Cinema,27,15,0.15,0.15,0.74,0.7
Favorit TV,24,11,0.13,0.11,0.64,0.51
AXN,24,18,0.13,0.18,0.64,0.85
Diva,21,16,0.11,0.16,0.56,0.75
Euforia,17,13,0.09,0.13,0.45,0.61
History Channel,16,10,0.09,0.1,0.44,0.48
Kiss TV,16,9,0.08,0.09,0.42,0.42
Dolce Sport,16,4,0.08,0.04,0.42,0.17
Discovery,13,7,0.07,0.07,0.34,0.32
Eurosport,14,10,0.07,0.1,0.37,0.48
National Geographic,12,9,0.07,0.09,0.33,0.4
ZU TV,12,6,0.07,0.06,0.33,0.29
Acasa Gold,13,4,0.07,0.04,0.36,0.2
Film Cafe,10,5,0.05,0.05,0.26,0.24
National Geographic Wild,9,5,0.05,0.05,0.25,0.22
Universal Channel,10,7,0.05,0.07,0.27,0.33
TCM,9,5,0.05,0.05,0.24,0.22
Paramount,9,9,0.05,0.08,0.25,0.4
U TV,7,5,0.04,0.05,0.19,0.24
EuroSport 2,7,5,0.04,0.05,0.2,0.26
TV Paprika,8,7,0.04,0.07,0.21,0.32
MTV Ro,5,3,0.03,0.03,0.14,0.15
Taraf TV,6,3,0.03,0.03,0.16,0.14
Music Channel,6,4,0.03,0.04,0.17,0.18
AXN White,6,4,0.03,0.04,0.17,0.18
Mynele TV,5,1,0.03,0.01,0.14,0.04
Look Plus,5,2,0.03,0.02,0.15,0.11
Look TV,6,1,0.03,0.01,0.15,0.06
The Fishing and Hunting Channel,5,3,0.03,0.03,0.13,0.12
National 24 PLUS,4,2,0.02,0.02,0.11,0.09
TV Neptun,3,2,0.02,0.02,0.09,0.08
Animal Planet,4,2,0.02,0.02,0.12,0.12
AXN Black,4,3,0.02,0.03,0.11,0.12
TLC,4,3,0.02,0.03,0.09,0.13
TV H,4,1,0.02,0.01,0.1,0.05
Comedy Central Extra,4,3,0.02,0.03,0.1,0.12
Sport 1/Megamax,2,1,0.01,0.01,0.05,0.03
CBS Reality,2,1,0.01,0.01,0.05,0.06
Hit Music,2,2,0.01,0.02,0.06,0.1
Others,448,264,2.42,2.62,12.11,12.34
