Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,173,68,0.91,0.65,3.64,2.62
TVR 2,70,30,0.37,0.28,1.48,1.14
Pro TV,774,401,4.07,3.83,16.26,15.4
Antena 1,649,371,3.41,3.54,13.65,14.25
Acasa,157,86,0.82,0.82,3.3,3.32
Prima TV,204,98,1.07,0.93,4.29,3.76
Kiss TV,24,14,0.12,0.13,0.49,0.54
Disney,108,58,0.57,0.55,2.27,2.21
Discovery,17,7,0.09,0.07,0.36,0.26
Eurosport,13,10,0.07,0.1,0.28,0.4
MTV Ro,8,5,0.04,0.05,0.16,0.2
B1TV,95,64,0.5,0.61,1.99,2.44
OTV - 22.01.2013,0,0,0,0,0,0
Minimax/A+,56,16,0.29,0.15,1.17,0.61
Realitatea TV,92,48,0.48,0.46,1.92,1.84
National Geographic,18,12,0.09,0.11,0.37,0.45
ETNO,70,26,0.37,0.25,1.47,1.01
Diva Universal,32,28,0.17,0.27,0.68,1.07
Cartoon Network,60,29,0.32,0.27,1.27,1.1
Sport.ro,37,20,0.19,0.19,0.78,0.78
National TV,147,76,0.78,0.72,3.1,2.91
Pro Cinema,45,26,0.24,0.25,0.94,1.01
National 24 PLUS,10,6,0.05,0.06,0.22,0.23
Favorit TV,32,9,0.17,0.09,0.68,0.36
AXN,48,35,0.25,0.34,1.01,1.35
Antena 3,226,152,1.19,1.45,4.74,5.85
U TV,12,9,0.07,0.09,0.26,0.34
Euforia,24,20,0.13,0.19,0.51,0.75
Film Cafe,17,12,0.09,0.11,0.35,0.45
Kanal D,363,185,1.91,1.76,7.64,7.1
Antena 2,46,29,0.24,0.28,0.97,1.13
Sport 1/Megamax,1,1,0,0.01,0.02,0.02
MGM - 31.07.2013,0,0,0,0,0,0
Taraf TV,25,10,0.13,0.1,0.53,0.4
TV Neptun,5,3,0.03,0.02,0.11,0.1
CBS Reality,2,2,0.01,0.02,0.04,0.06
National Geographic Wild,9,6,0.05,0.06,0.19,0.22
Music Channel,10,6,0.05,0.05,0.22,0.21
gspTV,16,8,0.08,0.07,0.33,0.29
Animal Planet,8,5,0.04,0.05,0.17,0.18
AXN Black,4,3,0.02,0.02,0.09,0.1
AXN White,6,5,0.03,0.04,0.14,0.18
Universal Channel,23,18,0.12,0.17,0.48,0.67
Mynele TV,15,3,0.08,0.03,0.32,0.13
EuroSport 2,9,7,0.05,0.07,0.19,0.27
TCM,10,6,0.05,0.06,0.22,0.23
TLC,5,3,0.02,0.03,0.1,0.12
Dolce Sport,18,6,0.1,0.06,0.38,0.22
Boomerang,41,22,0.22,0.21,0.87,0.86
Romania TV,146,81,0.77,0.77,3.07,3.12
Others,636,376,3.34,3.59,13.37,14.43
TVH2O,3,1,0.02,0.01,0.06,0.05
Disney Junior,66,40,0.35,0.38,1.38,1.55
Hit Music,3,3,0.02,0.03,0.07,0.1
Acasa Gold,12,6,0.06,0.06,0.26,0.25
Transilvania Live - 31.01.2013,0,0,0,0,0,0
Look TV,7,4,0.03,0.04,0.14,0.15
TV Paprika,9,7,0.04,0.06,0.18,0.26
History Channel,16,13,0.08,0.13,0.33,0.51
PV TV,4,2,0.02,0.02,0.07,0.07
VH1,1,1,0.01,0.01,0.03,0.03
Nickelodeon,18,9,0.09,0.08,0.37,0.34
Comedy Central Extra,1,0,0,0,0.01,0.01
