Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,485,244,2.81,2.61,18.04,16.82
Kanal D,341,157,1.97,1.68,12.66,10.81
Antena 1,286,154,1.66,1.64,10.65,10.61
Romania TV,206,113,1.19,1.21,7.67,7.78
Antena 3 CNN,142,82,0.82,0.87,5.28,5.63
Happy Channel,79,41,0.46,0.44,2.94,2.86
DigiSport 1,68,43,0.39,0.46,2.52,2.97
Digi 24,56,37,0.32,0.4,2.06,2.55
Film Cafe,52,25,0.3,0.26,1.94,1.7
Realitatea Plus,51,29,0.3,0.31,1.91,2
Pro Cinema,43,19,0.25,0.21,1.61,1.33
Antena Stars,41,19,0.24,0.2,1.53,1.3
TVR 1,36,20,0.21,0.21,1.33,1.35
Prima TV,33,18,0.19,0.19,1.24,1.23
National TV,30,16,0.17,0.17,1.11,1.09
TVR 2,29,17,0.17,0.19,1.08,1.2
Acasa,27,14,0.16,0.15,1.01,0.98
Diva,27,19,0.16,0.2,1,1.32
AMC,27,15,0.16,0.16,1,1.05
Cartoon Network,24,13,0.14,0.14,0.89,0.88
B1TV,22,13,0.13,0.13,0.82,0.87
Nickelodeon,21,9,0.12,0.1,0.78,0.65
Disney Junior,20,10,0.11,0.11,0.73,0.68
Cinemaraton,20,8,0.11,0.09,0.74,0.58
Disney,19,10,0.11,0.11,0.71,0.71
ETNO,19,6,0.11,0.06,0.7,0.41
AXN,19,14,0.11,0.15,0.71,0.96
Cartoonito,17,7,0.1,0.08,0.64,0.5
Minimax,16,5,0.09,0.05,0.6,0.35
DigiSport 2,16,9,0.09,0.1,0.6,0.64
Kanal D2,16,9,0.09,0.1,0.59,0.64
Prima Sport 1,15,9,0.08,0.09,0.54,0.6
History,11,9,0.06,0.09,0.4,0.61
Bollywood TV,11,8,0.06,0.09,0.4,0.55
Pro Arena,10,6,0.06,0.07,0.38,0.42
Acasa Gold,10,8,0.06,0.08,0.37,0.54
Warner TV,10,6,0.06,0.06,0.36,0.4
Nicktoons,10,5,0.06,0.05,0.38,0.32
TeenNick,9,6,0.05,0.06,0.32,0.4
TVR 3,9,4,0.05,0.05,0.32,0.31
Nick JR,8,5,0.05,0.06,0.31,0.36
TV1000,8,6,0.05,0.06,0.3,0.39
TraLaLa TV,8,6,0.05,0.06,0.31,0.38
Eurosport 1,7,5,0.04,0.05,0.26,0.33
National Geographic,7,5,0.04,0.05,0.25,0.34
Comedy Central,7,6,0.04,0.06,0.25,0.4
Discovery,6,6,0.04,0.06,0.24,0.4
N24 PLUS,6,2,0.03,0.02,0.21,0.14
Favorit TV,6,2,0.03,0.02,0.21,0.14
National Geographic Wild,6,3,0.03,0.04,0.22,0.23
TV Paprika,6,5,0.03,0.05,0.22,0.33
DigiSport 3,6,3,0.03,0.03,0.22,0.22
HGTV,6,5,0.03,0.05,0.21,0.34
TVR Info,6,3,0.04,0.04,0.23,0.24
Kiss TV,5,2,0.03,0.03,0.17,0.17
TLC,5,3,0.03,0.03,0.18,0.22
Prima Sport 2,5,2,0.03,0.03,0.17,0.17
JIM JAM,5,3,0.03,0.03,0.19,0.19
AXN Spin,5,3,0.03,0.03,0.17,0.21
Party MIX TV,5,1,0.03,0.01,0.17,0.09
Taraf TV,4,2,0.02,0.02,0.16,0.13
Eurosport 2,4,3,0.03,0.03,0.16,0.21
Viasat History,4,3,0.02,0.03,0.15,0.2
Viasat Explore,4,3,0.02,0.04,0.16,0.24
U TV,3,2,0.01,0.02,0.1,0.14
Orange Sport 1,3,2,0.02,0.02,0.12,0.12
DigiSport 4,3,2,0.02,0.03,0.12,0.17
A7 TV,3,3,0.02,0.03,0.13,0.21
CBS Reality,3,3,0.02,0.03,0.13,0.21
EuroNews,3,2,0.01,0.02,0.09,0.13
ZU TV,2,1,0.01,0.01,0.07,0.08
AXN Black,2,1,0.01,0.01,0.06,0.05
AXN White,2,2,0.01,0.02,0.07,0.12
Magic TV,2,1,0.01,0.02,0.07,0.1
Travel Channel,2,2,0.01,0.02,0.09,0.15
Metropola TV,2,1,0.01,0.01,0.07,0.09
Prima News,2,1,0.01,0.01,0.07,0.09
TVR Cultural,2,1,0.01,0.02,0.06,0.1
E! Entertainment,1,1,0.01,0.01,0.04,0.05
Rock TV,1,0,0,0,0.02,0.01
Duck TV,1,0,0,0,0.03,0.03
Aleph News,1,0,0,0.01,0.03,0.03
Prima Sport 3,1,1,0.01,0.01,0.05,0.06
Atomic TV,1,1,0.01,0.01,0.04,0.06
Orange Sport 3,0,0,0,0,0.01,0.01
