Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,862,404,4.86,4.21,18.46,17.64
Antena 1,588,270,3.32,2.81,12.59,11.78
Kanal D,452,173,2.55,1.8,9.68,7.55
Romania TV,283,143,1.6,1.49,6.06,6.26
Antena 3,231,147,1.3,1.53,4.95,6.41
Prima TV,126,56,0.71,0.58,2.7,2.43
Antena Stars,117,49,0.66,0.51,2.51,2.13
National TV,109,46,0.61,0.48,2.33,2.01
Pro 2,107,49,0.61,0.51,2.3,2.15
TVR 1,96,48,0.54,0.5,2.05,2.09
TVR 2,88,46,0.5,0.48,1.89,1.99
Realitatea TV,73,47,0.41,0.49,1.57,2.06
Pro Cinema,73,33,0.41,0.35,1.57,1.46
B1TV,71,42,0.4,0.44,1.52,1.84
ETNO,70,19,0.4,0.19,1.51,0.81
Minimax,64,23,0.36,0.24,1.38,1.02
Boomerang,64,26,0.36,0.27,1.36,1.11
Digi 24,62,44,0.35,0.46,1.34,1.94
Cartoon Network,55,25,0.31,0.26,1.18,1.11
Happy Channel,54,29,0.31,0.3,1.16,1.27
Disney,53,21,0.3,0.22,1.14,0.93
Disney Junior,48,22,0.27,0.23,1.03,0.96
AXN,46,29,0.26,0.3,0.98,1.25
Favorit TV,42,12,0.23,0.12,0.89,0.51
Nickelodeon,42,19,0.24,0.2,0.9,0.83
Film Cafe,32,17,0.18,0.18,0.69,0.74
Eurosport 1,31,21,0.17,0.22,0.66,0.93
Diva,31,23,0.17,0.24,0.66,1
DigiSport 1,31,24,0.17,0.25,0.66,1.04
TNT,27,13,0.15,0.14,0.58,0.57
Paramount,25,16,0.14,0.16,0.54,0.68
History,22,17,0.12,0.18,0.46,0.74
DigiSport 2,22,17,0.12,0.17,0.47,0.72
Nick JR,20,9,0.11,0.09,0.43,0.38
Pro X,19,10,0.11,0.11,0.41,0.44
Pro Gold,18,7,0.1,0.08,0.38,0.32
Look Plus,16,7,0.09,0.07,0.34,0.29
Bollywood TV,16,8,0.09,0.09,0.35,0.37
Taraf TV,15,4,0.08,0.05,0.31,0.2
Kiss TV,14,5,0.08,0.06,0.3,0.24
TLC,14,9,0.08,0.09,0.29,0.39
Discovery,13,9,0.07,0.09,0.27,0.37
Comedy Central,13,11,0.07,0.11,0.28,0.47
N24 PLUS,12,4,0.07,0.04,0.27,0.19
Nat Geo Wild,12,9,0.07,0.09,0.26,0.4
EuroSport 2,12,8,0.07,0.08,0.25,0.34
ZU TV,11,3,0.06,0.03,0.24,0.12
TVR 3,11,5,0.06,0.05,0.23,0.22
National Geographic,9,6,0.05,0.07,0.19,0.28
TV Paprika,9,7,0.05,0.08,0.2,0.32
AMC,9,5,0.05,0.05,0.19,0.2
AXN Black,8,4,0.04,0.04,0.17,0.16
DigiSport 3,8,6,0.05,0.06,0.17,0.27
AXN White,5,3,0.03,0.03,0.11,0.14
U TV,4,3,0.03,0.03,0.1,0.14
Music Channel,4,3,0.02,0.03,0.09,0.14
Animal Planet,4,2,0.02,0.02,0.09,0.07
Look Sport,4,1,0.02,0.01,0.08,0.06
DigiSport 4,4,3,0.02,0.04,0.09,0.15
Telekom Sport 1,3,1,0.02,0.01,0.07,0.05
Hit Music,3,2,0.01,0.02,0.05,0.09
TV H,2,1,0.01,0.01,0.05,0.05
Nasul TV,2,1,0.01,0.01,0.05,0.05
E! Entertainment,2,2,0.01,0.02,0.04,0.07
Telekom Sport 3,1,1,0.01,0.01,0.03,0.03
Rock TV,0,0,0,0,0.01,0.01
Magic TV,0,0,0,0,0.01,0.01
