Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,778,369,4.4,3.85,18.68,17.52
Antena 1,615,308,3.48,3.22,14.76,14.62
Kanal D,560,232,3.17,2.42,13.45,11
Romania TV,303,158,1.72,1.65,7.28,7.5
Antena 3,207,134,1.17,1.4,4.97,6.35
TVR 1,90,44,0.51,0.46,2.16,2.09
National TV,76,32,0.43,0.34,1.84,1.54
Digi 24,71,52,0.4,0.54,1.7,2.46
Happy Channel,68,38,0.38,0.4,1.62,1.82
Prima TV,65,32,0.37,0.33,1.56,1.5
DigiSport 1,65,37,0.37,0.39,1.57,1.77
Pro Cinema,61,24,0.34,0.26,1.45,1.16
Antena Stars,60,27,0.34,0.28,1.43,1.28
Realitatea Plus,56,30,0.32,0.32,1.35,1.43
Diva,48,34,0.27,0.35,1.14,1.6
Pro 2,47,21,0.27,0.22,1.14,0.98
B1TV,46,25,0.26,0.26,1.1,1.17
Boomerang,44,17,0.25,0.17,1.06,0.79
TVR 2,43,21,0.24,0.22,1.03,0.99
ETNO,34,9,0.19,0.09,0.81,0.42
AXN,33,19,0.18,0.2,0.78,0.89
Cartoon Network,29,12,0.16,0.13,0.7,0.57
Disney Junior,29,15,0.17,0.16,0.7,0.72
Nickelodeon,28,13,0.16,0.14,0.67,0.62
Film Cafe,27,13,0.15,0.14,0.64,0.62
TNT,27,13,0.15,0.14,0.64,0.64
DigiSport 2,24,17,0.14,0.18,0.58,0.83
Disney,23,14,0.13,0.14,0.55,0.65
AMC,23,12,0.13,0.13,0.55,0.58
History,19,12,0.11,0.12,0.45,0.57
Nick JR,19,9,0.11,0.1,0.45,0.45
Minimax,18,7,0.1,0.08,0.44,0.35
Pro X,15,8,0.09,0.08,0.36,0.37
Bollywood TV,14,4,0.08,0.05,0.33,0.21
Pro Gold,13,7,0.07,0.07,0.3,0.31
TV1000,13,7,0.07,0.08,0.3,0.35
Favorit TV,12,5,0.07,0.05,0.3,0.24
Comedy Central,12,11,0.07,0.11,0.29,0.5
Discovery,11,8,0.06,0.09,0.27,0.39
National Geographic,11,7,0.06,0.07,0.27,0.33
National Geographic Wild,11,6,0.06,0.06,0.26,0.27
Eurosport 1,10,8,0.06,0.08,0.24,0.37
TV Paprika,10,7,0.05,0.08,0.23,0.35
TLC,9,6,0.05,0.06,0.22,0.29
Look Sport+,9,6,0.05,0.06,0.22,0.29
Nicktoons,9,5,0.05,0.05,0.22,0.22
Kiss TV,8,4,0.04,0.04,0.18,0.17
N24 PLUS,8,3,0.04,0.03,0.18,0.13
DigiSport 3,8,5,0.04,0.05,0.18,0.25
ZU TV,7,4,0.04,0.04,0.16,0.17
AXN White,7,5,0.04,0.05,0.17,0.23
HGTV,7,5,0.04,0.05,0.16,0.23
Eurosport 2,6,5,0.04,0.05,0.15,0.22
Telekom Sport 1,6,2,0.03,0.03,0.14,0.12
TVR 3,5,3,0.03,0.03,0.13,0.14
Taraf TV,4,1,0.03,0.01,0.11,0.06
Music Channel,4,1,0.02,0.01,0.1,0.04
DigiSport 4,4,3,0.02,0.03,0.08,0.13
JIM JAM,4,2,0.02,0.02,0.09,0.08
Aleph News,4,3,0.03,0.03,0.11,0.13
U TV,3,2,0.02,0.02,0.08,0.1
AXN Black,3,2,0.02,0.02,0.07,0.09
Look Sport,3,1,0.02,0.01,0.07,0.05
Travel Channel,3,2,0.02,0.02,0.07,0.11
Hit Music,2,1,0.01,0.01,0.04,0.04
Magic TV,2,2,0.01,0.02,0.05,0.07
Duck TV,2,2,0.01,0.02,0.05,0.08
E! Entertainment,1,1,0.01,0.01,0.03,0.04
Rock TV,1,0,0,0,0.01,0.02
Telekom Sport 3,1,0,0,0,0.02,0.01
Canal 33,0,0,0,0,0.01,0.02
