Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,647,325,3.61,3.39,18.57,17.68
Antena 1,414,208,2.31,2.17,11.89,11.32
Kanal D,330,140,1.84,1.46,9.48,7.62
Romania TV,192,99,1.07,1.03,5.51,5.4
Antena 3,184,126,1.03,1.31,5.28,6.85
National TV,104,45,0.58,0.47,2.98,2.47
Prima TV,94,44,0.53,0.46,2.71,2.41
Pro 2,86,43,0.48,0.45,2.46,2.34
Antena Stars,82,35,0.46,0.36,2.35,1.9
Realitatea TV,67,46,0.38,0.48,1.93,2.51
TVR 1,65,31,0.36,0.32,1.85,1.66
TVR 2,56,29,0.31,0.3,1.61,1.59
DigiSport 1,56,41,0.31,0.43,1.61,2.25
Pro Cinema,51,25,0.28,0.26,1.46,1.37
ETNO,47,14,0.26,0.15,1.35,0.76
B1TV,46,29,0.26,0.3,1.31,1.59
Cartoon Network,46,25,0.26,0.26,1.32,1.36
Disney,44,16,0.24,0.17,1.25,0.89
Digi 24,44,34,0.25,0.35,1.27,1.83
Boomerang,43,22,0.24,0.23,1.23,1.2
AXN,37,26,0.2,0.27,1.05,1.39
Disney Junior,37,21,0.21,0.22,1.06,1.13
Happy Channel,36,25,0.2,0.26,1.04,1.36
Diva,30,24,0.16,0.25,0.85,1.28
Minimax,29,15,0.16,0.15,0.84,0.79
Nickelodeon,29,15,0.16,0.16,0.82,0.83
Favorit TV,27,8,0.15,0.09,0.78,0.46
Nick JR,27,10,0.15,0.11,0.77,0.57
Paramount,22,16,0.12,0.17,0.63,0.87
DigiSport 2,21,17,0.12,0.18,0.6,0.92
Pro X,20,11,0.11,0.12,0.56,0.62
Film Cafe,20,10,0.11,0.11,0.57,0.56
TNT,19,9,0.11,0.09,0.54,0.5
History,17,14,0.09,0.14,0.48,0.74
Bollywood TV,16,6,0.09,0.06,0.46,0.34
Comedy Central,15,13,0.08,0.13,0.42,0.69
Pro Gold,14,6,0.08,0.06,0.41,0.31
Taraf TV,13,3,0.07,0.03,0.37,0.14
Look Plus,13,6,0.07,0.07,0.38,0.34
Kiss TV,12,5,0.07,0.05,0.35,0.28
Discovery,11,8,0.06,0.08,0.3,0.42
Eurosport 1,11,6,0.06,0.07,0.31,0.34
N24 PLUS,10,4,0.06,0.05,0.29,0.24
TLC,10,6,0.05,0.07,0.27,0.35
Telekom Sport 1,9,4,0.05,0.04,0.26,0.21
ZU TV,8,4,0.04,0.04,0.22,0.22
TV Paprika,8,6,0.04,0.06,0.22,0.32
National Geographic,7,6,0.04,0.06,0.21,0.3
Look Sport,7,2,0.04,0.02,0.2,0.09
DigiSport 3,7,5,0.04,0.06,0.21,0.3
EuroSport 2,6,3,0.03,0.04,0.17,0.19
TV H,6,2,0.03,0.02,0.16,0.09
AMC,6,3,0.03,0.03,0.16,0.17
Nat Geo Wild,5,4,0.03,0.05,0.15,0.24
U TV,4,3,0.02,0.03,0.12,0.15
Music Channel,4,3,0.02,0.03,0.12,0.16
AXN White,4,3,0.02,0.03,0.11,0.14
Animal Planet,3,1,0.02,0.01,0.09,0.06
AXN Black,3,2,0.02,0.02,0.1,0.1
Telekom Sport 2,3,2,0.02,0.02,0.08,0.08
DigiSport 4,3,3,0.02,0.03,0.1,0.16
Hit Music,2,2,0.01,0.02,0.06,0.1
Nasul TV,2,1,0.01,0.01,0.06,0.06
E! Entertainment,1,1,0.01,0.01,0.03,0.06
Magic TV,1,0,0,0,0.02,0.02
Rock TV,0,0,0,0,0.01,0.01
