Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,139,54,0.73,0.52,3.56,2.43
TVR 2,52,24,0.27,0.23,1.33,1.08
Pro TV,550,304,2.89,2.89,14.06,13.63
Antena 1,511,308,2.69,2.94,13.05,13.84
Acasa,164,83,0.86,0.79,4.18,3.71
Prima TV,138,71,0.73,0.67,3.54,3.17
Kiss TV,20,12,0.1,0.12,0.5,0.56
Disney,107,57,0.56,0.55,2.73,2.57
Discovery,14,8,0.07,0.08,0.36,0.36
Eurosport,17,14,0.09,0.13,0.44,0.63
MTV Ro,8,6,0.04,0.06,0.21,0.27
B1TV,85,56,0.45,0.53,2.16,2.49
Minimax/A+,39,13,0.21,0.13,1,0.6
Realitatea TV,87,49,0.46,0.46,2.22,2.19
National Geographic,13,9,0.07,0.09,0.33,0.42
ETNO,64,23,0.34,0.22,1.64,1.03
Diva Universal,24,20,0.13,0.19,0.62,0.9
Cartoon Network,56,21,0.3,0.2,1.44,0.96
Sport.ro,39,23,0.21,0.22,1,1.02
National TV,124,65,0.65,0.62,3.16,2.94
Pro Cinema,39,22,0.21,0.21,1.01,1
National 24 PLUS,8,5,0.04,0.05,0.2,0.21
Favorit TV,23,9,0.12,0.08,0.58,0.38
AXN,43,32,0.23,0.3,1.11,1.43
Antena 3,199,141,1.04,1.35,5.07,6.34
U TV,14,9,0.07,0.09,0.35,0.42
Euforia,20,18,0.11,0.17,0.52,0.79
Film Cafe,17,13,0.09,0.13,0.44,0.6
Kanal D,283,154,1.49,1.47,7.24,6.9
Antena 2,41,27,0.22,0.26,1.05,1.23
Sport 1/Megamax,1,1,0,0.01,0.02,0.03
Taraf TV,24,10,0.13,0.1,0.62,0.46
TV Neptun,5,2,0.03,0.02,0.12,0.11
CBS Reality,2,1,0.01,0.01,0.04,0.06
National Geographic Wild,6,4,0.03,0.04,0.16,0.19
Music Channel,8,5,0.04,0.04,0.21,0.2
gspTV,17,9,0.09,0.09,0.44,0.4
Animal Planet,7,4,0.04,0.04,0.18,0.19
AXN Sci Fi,6,5,0.03,0.04,0.16,0.21
AXN Crime,9,6,0.05,0.06,0.23,0.28
Universal Channel,21,15,0.11,0.14,0.53,0.66
Mynele TV,13,5,0.07,0.04,0.33,0.2
EuroSport 2,9,7,0.05,0.06,0.22,0.3
TCM,9,5,0.05,0.05,0.22,0.22
TLC,2,1,0.01,0.01,0.05,0.06
Dolce Sport,14,4,0.07,0.04,0.35,0.2
Boomerang,39,17,0.21,0.16,1,0.76
Romania TV,123,70,0.65,0.67,3.15,3.15
Others,550,334,2.89,3.18,14.04,14.97
TVH2O,2,1,0.01,0.01,0.06,0.05
Disney Junior,60,39,0.31,0.37,1.52,1.73
Hit Music,3,3,0.02,0.03,0.09,0.14
Acasa Gold,10,4,0.05,0.04,0.27,0.2
Look TV,5,3,0.03,0.03,0.14,0.13
TV Paprika,10,7,0.05,0.07,0.25,0.31
History Channel,16,14,0.09,0.13,0.42,0.62
PV TV,4,2,0.02,0.02,0.1,0.08
