Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,166,71,0.87,0.68,4.28,3.19
TVR 2,57,27,0.3,0.26,1.46,1.24
Pro TV,550,316,2.89,3.02,14.21,14.26
Antena 1,496,302,2.61,2.88,12.8,13.61
Acasa,164,84,0.86,0.8,4.24,3.78
Prima TV,136,72,0.71,0.69,3.5,3.26
Kiss TV,21,12,0.11,0.11,0.54,0.54
Disney,105,53,0.55,0.51,2.72,2.4
Discovery,15,9,0.08,0.08,0.38,0.39
Eurosport,16,13,0.08,0.12,0.42,0.57
MTV Ro,10,7,0.05,0.07,0.25,0.32
B1TV,86,58,0.45,0.55,2.22,2.62
Minimax/A+,38,14,0.2,0.14,0.99,0.65
Realitatea TV,102,55,0.54,0.52,2.64,2.47
National Geographic,16,13,0.08,0.12,0.42,0.58
ETNO,62,25,0.32,0.24,1.59,1.12
Diva Universal,23,19,0.12,0.18,0.6,0.85
Cartoon Network,51,21,0.27,0.2,1.31,0.94
Sport.ro,35,21,0.18,0.2,0.9,0.97
National TV,144,81,0.75,0.78,3.71,3.67
Pro Cinema,34,20,0.18,0.19,0.89,0.91
National 24 PLUS,9,6,0.05,0.05,0.23,0.25
Favorit TV,23,9,0.12,0.09,0.59,0.41
AXN,35,26,0.18,0.25,0.91,1.18
Antena 3,195,144,1.02,1.37,5.02,6.5
U TV,13,8,0.07,0.08,0.33,0.38
Euforia,21,19,0.11,0.18,0.55,0.84
Film Cafe,23,18,0.12,0.17,0.58,0.81
Kanal D,302,158,1.59,1.5,7.8,7.11
Antena 2,45,29,0.24,0.28,1.16,1.32
Sport 1/Megamax,2,1,0.01,0.01,0.04,0.06
MGM,7,4,0.04,0.04,0.17,0.17
Taraf TV,24,9,0.12,0.09,0.61,0.4
TV Neptun,4,2,0.02,0.02,0.1,0.1
CBS Reality,2,2,0.01,0.01,0.05,0.07
National Geographic Wild,8,5,0.04,0.05,0.2,0.24
Music Channel,10,5,0.05,0.05,0.25,0.24
gspTV,12,7,0.06,0.06,0.31,0.3
Animal Planet,5,3,0.02,0.03,0.12,0.12
AXN Sci Fi,5,4,0.03,0.04,0.13,0.18
AXN Crime,5,4,0.03,0.03,0.14,0.16
Universal Channel,20,15,0.11,0.14,0.52,0.66
Mynele TV,16,4,0.08,0.03,0.4,0.16
EuroSport 2,9,7,0.05,0.06,0.23,0.3
TCM,9,5,0.05,0.05,0.22,0.22
TLC,3,2,0.01,0.02,0.07,0.07
Dolce Sport,7,3,0.04,0.03,0.18,0.12
Boomerang,34,18,0.18,0.17,0.87,0.82
Romania TV,120,70,0.63,0.67,3.1,3.17
Others,484,277,2.54,2.64,12.49,12.5
TVH2O,1,1,0.01,0.01,0.04,0.03
Disney Junior,47,30,0.25,0.28,1.23,1.33
Hit Music,3,3,0.02,0.03,0.09,0.14
Acasa Gold,11,4,0.06,0.04,0.29,0.2
Look TV,6,3,0.03,0.03,0.16,0.14
TV Paprika,8,6,0.04,0.06,0.22,0.28
History Channel,15,13,0.08,0.13,0.39,0.6
PV TV,5,2,0.02,0.02,0.12,0.07
