Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,808,372,4.59,3.91,19.15,17.86
Antena 1,585,269,3.32,2.83,13.86,12.9
Kanal D,422,165,2.4,1.73,9.99,7.9
Romania TV,332,170,1.89,1.79,7.88,8.16
Antena 3,216,130,1.23,1.36,5.12,6.23
Happy Channel,90,47,0.51,0.5,2.13,2.27
Antena Stars,90,41,0.51,0.43,2.13,1.97
TVR 1,88,42,0.5,0.45,2.09,2.04
Realitatea Plus,87,46,0.49,0.48,2.06,2.21
Prima TV,82,39,0.47,0.41,1.96,1.89
National TV,73,34,0.41,0.35,1.73,1.61
Digi 24,69,49,0.39,0.52,1.64,2.37
TVR 2,64,33,0.36,0.35,1.52,1.59
Pro Cinema,59,26,0.34,0.27,1.41,1.23
DigiSport 1,45,28,0.26,0.29,1.07,1.35
Cartoon Network,43,13,0.24,0.13,1.02,0.61
B1TV,41,23,0.23,0.24,0.97,1.1
Film Cafe,40,16,0.23,0.17,0.95,0.78
Diva,39,27,0.22,0.29,0.91,1.3
Nickelodeon,38,17,0.22,0.18,0.9,0.81
Pro 2,36,16,0.2,0.17,0.85,0.78
Boomerang,36,12,0.21,0.12,0.86,0.57
ETNO,31,10,0.18,0.1,0.73,0.48
AXN,31,19,0.18,0.2,0.73,0.9
Disney Junior,30,17,0.17,0.17,0.71,0.79
AMC,29,13,0.16,0.13,0.68,0.61
Eurosport 1,23,17,0.13,0.18,0.54,0.83
Warner TV,22,12,0.13,0.13,0.53,0.6
Disney,21,9,0.12,0.1,0.49,0.45
History,21,15,0.12,0.16,0.49,0.71
Nick JR,20,10,0.11,0.1,0.47,0.47
Nicktoons,20,5,0.11,0.05,0.46,0.22
DigiSport 2,18,12,0.1,0.12,0.42,0.56
Pro Gold,17,10,0.09,0.1,0.39,0.47
Favorit TV,16,6,0.09,0.06,0.38,0.28
TV1000,16,10,0.09,0.1,0.38,0.47
Cinemaraton,16,8,0.09,0.08,0.39,0.38
Minimax,14,4,0.08,0.05,0.34,0.21
National Geographic,14,9,0.08,0.09,0.33,0.41
Bollywood TV,13,8,0.07,0.08,0.31,0.37
National Geographic Wild,12,7,0.07,0.08,0.28,0.36
TeenNick,12,8,0.07,0.08,0.28,0.36
Discovery,11,8,0.06,0.08,0.25,0.38
Pro X,11,7,0.06,0.07,0.27,0.32
Eurosport 2,11,8,0.06,0.08,0.26,0.37
TLC,11,8,0.06,0.09,0.27,0.4
TV Paprika,11,8,0.06,0.08,0.25,0.37
Comedy Central,11,10,0.06,0.11,0.26,0.49
Viasat History,10,9,0.06,0.09,0.23,0.42
Taraf TV,9,2,0.05,0.02,0.23,0.07
Viasat Explore,9,6,0.05,0.07,0.22,0.3
N24 PLUS,8,3,0.04,0.03,0.19,0.14
ZU TV,7,4,0.04,0.04,0.16,0.2
Look Sport+,7,3,0.04,0.03,0.16,0.15
HGTV,7,5,0.04,0.05,0.16,0.24
AXN White,6,4,0.03,0.04,0.14,0.18
Kiss TV,5,3,0.03,0.03,0.12,0.14
DigiSport 3,5,4,0.03,0.04,0.12,0.17
JIM JAM,5,2,0.03,0.02,0.12,0.09
AXN Black,4,3,0.03,0.03,0.11,0.13
Travel Channel,4,2,0.02,0.02,0.08,0.11
U TV,3,2,0.02,0.02,0.07,0.1
Telekom Sport 1,3,1,0.02,0.02,0.07,0.07
Look Sport,3,1,0.02,0.01,0.07,0.06
DigiSport 4,3,2,0.02,0.02,0.07,0.1
Aleph News,3,2,0.02,0.02,0.07,0.07
Music Channel,2,1,0.01,0.01,0.05,0.05
E! Entertainment,2,1,0.01,0.01,0.05,0.06
Magic TV,2,1,0.01,0.01,0.04,0.05
Duck TV,2,2,0.01,0.02,0.05,0.08
Hit Music,1,1,0.01,0.01,0.02,0.03
Rock TV,1,0,0,0,0.01,0.02
Telekom Sport 3,1,0,0,0,0.01,0.02
Metropola TV,1,1,0,0.01,0.02,0.03
A7 TV,1,1,0.01,0.01,0.03,0.05
