Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,561,323,3.04,3.2,14.48,14.81
Antena 1,502,292,2.72,2.89,12.95,13.38
Kanal D,352,175,1.91,1.74,9.1,8.03
Antena 3,214,141,1.16,1.4,5.52,6.47
Romania TV,191,105,1.04,1.04,4.94,4.82
TVR 1,147,55,0.8,0.54,3.81,2.5
National TV,104,57,0.57,0.57,2.69,2.62
Prima TV,95,51,0.51,0.5,2.45,2.33
Antena Stars,84,51,0.46,0.51,2.17,2.34
Acasa,81,50,0.44,0.5,2.09,2.31
Disney,81,40,0.44,0.4,2.1,1.85
B1TV,73,42,0.4,0.42,1.89,1.94
Realitatea TV,57,36,0.31,0.36,1.47,1.66
Cartoon Network,53,24,0.29,0.23,1.37,1.08
Disney Junior,52,33,0.28,0.33,1.33,1.52
Digi 24,48,41,0.26,0.41,1.23,1.89
ETNO,47,16,0.25,0.16,1.21,0.73
Pro Cinema,40,23,0.22,0.23,1.04,1.05
AXN,38,32,0.21,0.31,0.99,1.45
Minimax/A+,36,9,0.2,0.08,0.93,0.39
TVR 2,35,20,0.19,0.2,0.9,0.92
Boomerang,36,19,0.19,0.19,0.92,0.88
Sport.ro,31,16,0.17,0.16,0.79,0.74
Nickelodeon,29,18,0.16,0.18,0.75,0.84
DigiSport 1 (12.10 - 31.10.2015),30,24,0.16,0.24,0.77,1.1
Favorit TV,23,8,0.12,0.08,0.58,0.38
Kiss TV,20,11,0.11,0.11,0.51,0.52
Diva,20,17,0.11,0.16,0.51,0.76
Taraf TV,20,9,0.11,0.09,0.52,0.42
Dolce Sport,18,5,0.1,0.05,0.47,0.23
Euforia,16,10,0.09,0.1,0.42,0.48
History Channel,16,13,0.09,0.13,0.42,0.62
Paramount,15,12,0.08,0.12,0.39,0.55
National Geographic,13,8,0.07,0.08,0.32,0.35
DigiSport 2 (12.10 - 31.10.2015),13,11,0.07,0.11,0.33,0.52
ZU TV,11,5,0.06,0.05,0.29,0.21
Discovery,10,6,0.05,0.06,0.25,0.26
Eurosport,10,8,0.05,0.08,0.26,0.35
Film Cafe,8,6,0.05,0.06,0.22,0.26
National Geographic Wild,9,5,0.05,0.05,0.23,0.23
Acasa Gold,9,3,0.05,0.03,0.22,0.13
TV Paprika,9,8,0.05,0.08,0.24,0.37
U TV,7,5,0.04,0.05,0.18,0.22
AXN White,7,5,0.04,0.05,0.19,0.24
TNT (05.10 - 31.10.2015),8,4,0.04,0.04,0.21,0.17
MTV Ro,6,4,0.03,0.04,0.15,0.16
EuroSport 2,5,4,0.03,0.04,0.14,0.19
TV H,5,2,0.03,0.01,0.12,0.07
National 24 PLUS,4,2,0.02,0.02,0.11,0.09
Music Channel,4,3,0.02,0.03,0.11,0.12
Animal Planet,4,3,0.02,0.03,0.11,0.13
AXN Black,4,3,0.02,0.03,0.11,0.15
TLC,3,3,0.02,0.03,0.08,0.12
The Fishing and Hunting Channel,5,3,0.02,0.03,0.12,0.14
AMC,4,2,0.02,0.02,0.11,0.08
CBS Reality,2,1,0.01,0.01,0.04,0.05
TCM (01.10 - 05.10.2015),1,1,0.01,0.01,0.03,0.03
Hit Music,2,2,0.01,0.02,0.05,0.07
Comedy Central Extra,3,2,0.01,0.02,0.07,0.11
Others,540,295,2.93,2.92,13.93,13.51
