Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,657,339,3.55,3.37,15.94,14.6
Antena 1,561,326,3.03,3.24,13.6,14.05
Kanal D,326,170,1.76,1.69,7.89,7.32
Antena 3,291,204,1.57,2.02,7.06,8.79
Romania TV,166,93,0.9,0.92,4.02,4
TVR 1,160,70,0.87,0.7,3.89,3.03
National TV,133,72,0.72,0.71,3.22,3.09
Prima TV,114,61,0.62,0.61,2.77,2.63
B1TV,94,61,0.51,0.6,2.28,2.61
Acasa,93,60,0.5,0.59,2.26,2.57
Realitatea TV,86,50,0.47,0.49,2.09,2.15
Antena Stars,84,51,0.46,0.5,2.05,2.19
Disney,81,34,0.44,0.34,1.96,1.46
TVR 2,66,28,0.36,0.28,1.61,1.2
ETNO,53,18,0.29,0.17,1.29,0.76
Cartoon Network,51,21,0.28,0.21,1.24,0.89
Disney Junior,46,31,0.25,0.31,1.11,1.35
Boomerang,43,25,0.23,0.25,1.05,1.09
Pro Cinema,37,18,0.2,0.18,0.89,0.79
Minimax/A+,33,10,0.18,0.1,0.81,0.44
Nickelodeon,33,21,0.18,0.21,0.8,0.89
Digi 24,33,28,0.18,0.28,0.79,1.21
Sport.ro,32,15,0.17,0.15,0.77,0.67
Favorit TV,26,11,0.14,0.11,0.63,0.46
AXN,27,21,0.14,0.21,0.65,0.9
Dolce Sport,21,6,0.12,0.06,0.52,0.24
Diva,21,18,0.11,0.17,0.51,0.76
Euforia,18,15,0.1,0.15,0.45,0.65
Kiss TV,17,9,0.09,0.09,0.42,0.38
History Channel,17,12,0.09,0.11,0.42,0.5
Discovery,13,7,0.07,0.07,0.33,0.3
National Geographic,14,9,0.07,0.09,0.33,0.4
Eurosport,12,9,0.06,0.09,0.29,0.39
Film Cafe,11,5,0.06,0.05,0.26,0.22
Taraf TV,11,5,0.06,0.05,0.26,0.21
ZU TV,12,7,0.06,0.07,0.28,0.31
Universal Channel,12,9,0.06,0.09,0.29,0.39
Acasa Gold,12,4,0.06,0.04,0.29,0.17
Paramount,10,9,0.06,0.09,0.25,0.41
National Geographic Wild,9,5,0.05,0.05,0.22,0.2
TCM,9,5,0.05,0.05,0.23,0.21
U TV,7,5,0.04,0.05,0.18,0.21
TV Paprika,8,7,0.04,0.06,0.19,0.28
MTV Ro,5,3,0.03,0.03,0.12,0.14
National 24 PLUS,5,3,0.03,0.03,0.13,0.11
Music Channel,6,4,0.03,0.04,0.14,0.16
Animal Planet,5,3,0.03,0.03,0.13,0.13
AXN White,6,4,0.03,0.04,0.15,0.18
Mynele TV,5,1,0.03,0.01,0.13,0.04
EuroSport 2,6,4,0.03,0.04,0.15,0.18
Look Plus,5,2,0.03,0.02,0.12,0.1
Look TV,6,2,0.03,0.02,0.14,0.07
The Fishing and Hunting Channel,5,3,0.03,0.03,0.12,0.14
Sport 1/Megamax,3,2,0.02,0.02,0.07,0.07
TV Neptun,4,2,0.02,0.02,0.1,0.1
AXN Black,4,3,0.02,0.03,0.11,0.11
TLC,3,3,0.02,0.03,0.07,0.12
TV H,4,1,0.02,0.01,0.1,0.06
Comedy Central Extra,3,3,0.02,0.03,0.08,0.13
CBS Reality,2,1,0.01,0.01,0.04,0.06
Hit Music,2,2,0.01,0.02,0.06,0.09
Others,481,294,2.6,2.92,11.66,12.66
