Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,502,290,2.72,2.88,13.86,13.81
Antena 1,437,252,2.37,2.5,12.07,11.99
Kanal D,352,179,1.91,1.77,9.72,8.52
Antena 3,253,176,1.37,1.75,6.97,8.4
Romania TV,175,95,0.95,0.95,4.84,4.54
TVR 1,128,57,0.69,0.56,3.52,2.7
Acasa,123,85,0.66,0.84,3.39,4.03
National TV,94,52,0.51,0.51,2.61,2.47
Prima TV,90,51,0.49,0.5,2.49,2.4
Antena Stars,81,48,0.44,0.48,2.23,2.29
B1TV,76,52,0.41,0.51,2.11,2.46
Disney,72,35,0.39,0.35,1.98,1.67
Realitatea TV,63,38,0.34,0.38,1.73,1.82
Cartoon Network,62,27,0.33,0.27,1.7,1.28
Digi 24,47,41,0.26,0.4,1.3,1.93
TVR 2,47,23,0.25,0.22,1.29,1.08
Disney Junior,45,32,0.24,0.32,1.24,1.54
Pro Cinema,42,25,0.23,0.25,1.15,1.18
Boomerang,41,22,0.22,0.21,1.12,1.03
ETNO,37,14,0.2,0.14,1.03,0.66
Sport.ro,30,15,0.16,0.15,0.83,0.73
Nickelodeon,29,20,0.16,0.19,0.81,0.93
AXN,28,22,0.15,0.22,0.78,1.05
Minimax/A+,24,7,0.13,0.07,0.67,0.32
Diva,22,17,0.12,0.17,0.6,0.82
Kiss TV,20,10,0.11,0.1,0.55,0.48
Euforia,21,17,0.11,0.16,0.57,0.79
Taraf TV,19,6,0.11,0.06,0.54,0.27
Favorit TV,18,8,0.1,0.08,0.51,0.37
History Channel,17,14,0.09,0.14,0.48,0.69
Eurosport,15,12,0.08,0.12,0.43,0.57
Paramount,14,11,0.08,0.11,0.39,0.53
Discovery,10,7,0.06,0.07,0.29,0.32
National Geographic,10,8,0.06,0.08,0.29,0.37
ZU TV,12,6,0.06,0.06,0.32,0.26
U TV,9,7,0.05,0.07,0.24,0.31
National Geographic Wild,9,5,0.05,0.05,0.24,0.26
EuroSport 2,10,7,0.05,0.07,0.27,0.35
TCM,8,5,0.05,0.05,0.23,0.24
Dolce Sport,9,2,0.05,0.02,0.25,0.09
Film Cafe,8,5,0.04,0.05,0.21,0.25
AXN White,7,5,0.04,0.05,0.19,0.24
Acasa Gold,7,4,0.04,0.04,0.18,0.18
TV Paprika,8,7,0.04,0.07,0.21,0.31
MTV Ro,5,4,0.03,0.04,0.14,0.17
National 24 PLUS,6,2,0.03,0.02,0.16,0.09
Music Channel,5,3,0.03,0.03,0.13,0.14
Animal Planet,5,3,0.03,0.03,0.13,0.14
AXN Black,4,3,0.02,0.03,0.12,0.15
TLC,3,3,0.02,0.03,0.09,0.14
TV H,4,1,0.02,0.01,0.1,0.07
The Fishing and Hunting Channel,4,2,0.02,0.02,0.11,0.12
Comedy Central Extra,4,4,0.02,0.04,0.12,0.17
AMC,3,2,0.02,0.02,0.1,0.09
CBS Reality,1,1,0.01,0.01,0.04,0.05
Hit Music,2,2,0.01,0.02,0.06,0.09
Others,434,248,2.35,2.46,11.99,11.8
