Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,136,55,0.71,0.53,3.71,2.68
TVR 2,57,26,0.3,0.25,1.55,1.26
Pro TV,482,269,2.53,2.56,13.18,13.01
Antena 1,448,259,2.35,2.47,12.24,12.56
Acasa,186,96,0.98,0.92,5.08,4.66
Prima TV,122,68,0.64,0.65,3.34,3.3
Kiss TV,21,12,0.11,0.11,0.57,0.57
Disney,112,58,0.59,0.55,3.06,2.79
Discovery,12,7,0.06,0.07,0.32,0.34
Eurosport,15,12,0.08,0.12,0.41,0.59
MTV Ro,10,6,0.05,0.06,0.26,0.31
B1TV,81,53,0.43,0.5,2.22,2.55
Minimax/A+,38,14,0.2,0.14,1.04,0.69
Realitatea TV,84,45,0.44,0.43,2.3,2.18
National Geographic,14,10,0.07,0.09,0.37,0.46
ETNO,58,22,0.3,0.21,1.57,1.08
Diva Universal,25,21,0.13,0.2,0.69,1
Cartoon Network,54,21,0.28,0.2,1.47,1.03
Sport.ro,39,23,0.21,0.22,1.08,1.12
National TV,120,64,0.63,0.61,3.27,3.11
Pro Cinema,38,23,0.2,0.22,1.04,1.12
National 24 PLUS,10,5,0.05,0.05,0.27,0.26
Favorit TV,21,9,0.11,0.08,0.58,0.42
AXN,41,30,0.22,0.29,1.13,1.46
Antena 3,185,131,0.98,1.25,5.07,6.37
U TV,14,10,0.07,0.09,0.38,0.46
Euforia,23,21,0.12,0.2,0.63,1.01
Film Cafe,18,14,0.1,0.13,0.5,0.68
Kanal D,188,101,0.99,0.96,5.15,4.88
Antena 2,24,15,0.13,0.14,0.66,0.74
Sport 1/Megamax,2,1,0.01,0.01,0.05,0.05
Taraf TV,26,12,0.14,0.11,0.71,0.56
TV Neptun,5,3,0.03,0.03,0.13,0.14
CBS Reality,2,2,0.01,0.02,0.06,0.09
National Geographic Wild,7,5,0.04,0.05,0.19,0.23
Music Channel,8,4,0.04,0.04,0.22,0.21
gspTV,14,7,0.08,0.07,0.39,0.34
Animal Planet,8,4,0.04,0.04,0.21,0.18
AXN Sci Fi,6,5,0.03,0.04,0.16,0.22
AXN Crime,6,4,0.03,0.04,0.16,0.19
Universal Channel,19,15,0.1,0.14,0.53,0.7
Mynele TV,16,5,0.09,0.04,0.45,0.22
EuroSport 2,7,5,0.04,0.05,0.2,0.25
TCM,8,4,0.04,0.04,0.21,0.2
TLC,2,2,0.01,0.01,0.06,0.07
Dolce Sport,18,7,0.09,0.06,0.49,0.32
Boomerang,39,20,0.2,0.19,1.06,0.96
Romania TV,147,84,0.77,0.81,4.02,4.09
Others,545,313,2.86,2.99,14.89,15.17
TVH2O,2,1,0.01,0.01,0.06,0.05
Disney Junior,50,33,0.26,0.31,1.36,1.58
Hit Music,3,3,0.02,0.03,0.08,0.13
Acasa Gold,10,4,0.05,0.04,0.27,0.19
Look TV,5,3,0.03,0.03,0.14,0.14
TV Paprika,10,7,0.05,0.07,0.27,0.33
History Channel,15,12,0.08,0.12,0.4,0.6
PV TV,4,1,0.02,0.01,0.1,0.07
