Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,407,242,2.21,2.4,11.82,12.5
Antena 1,389,217,2.11,2.15,11.32,11.19
Kanal D,266,125,1.44,1.24,7.72,6.43
Antena 3,188,127,1.02,1.26,5.47,6.56
Romania TV,187,102,1.01,1.01,5.43,5.27
TVR 1,113,42,0.61,0.42,3.28,2.18
National TV,106,58,0.57,0.58,3.07,3.01
Prima TV,100,56,0.54,0.56,2.91,2.9
Acasa,82,49,0.44,0.49,2.38,2.54
Disney,82,39,0.44,0.39,2.37,2.03
Antena Stars,70,41,0.38,0.41,2.03,2.11
B1TV,69,42,0.37,0.41,1.99,2.14
Cartoon Network,64,28,0.35,0.27,1.87,1.42
Realitatea TV,49,30,0.27,0.3,1.44,1.57
Disney Junior,49,32,0.27,0.31,1.43,1.63
Pro Cinema,45,24,0.24,0.24,1.3,1.25
Boomerang,45,24,0.24,0.24,1.3,1.22
TVR 2,39,23,0.21,0.23,1.15,1.19
ETNO,39,17,0.21,0.17,1.13,0.87
Sport.ro,35,17,0.19,0.17,1.01,0.9
Digi 24,35,29,0.19,0.29,1.03,1.49
Nickelodeon,33,19,0.18,0.19,0.95,0.99
Minimax/A+,29,7,0.16,0.07,0.84,0.38
Euforia,28,21,0.15,0.21,0.82,1.1
AXN,26,22,0.14,0.22,0.77,1.13
Dolce Sport,26,7,0.14,0.07,0.76,0.34
Kiss TV,22,11,0.12,0.11,0.64,0.56
Favorit TV,21,9,0.11,0.09,0.6,0.47
Taraf TV,21,8,0.11,0.08,0.6,0.42
Diva,19,16,0.1,0.15,0.54,0.81
History Channel,16,14,0.09,0.14,0.47,0.71
Paramount,15,12,0.08,0.11,0.45,0.6
National Geographic,12,9,0.07,0.09,0.36,0.45
ZU TV,13,7,0.07,0.07,0.38,0.34
Eurosport,11,9,0.06,0.09,0.31,0.44
Film Cafe,11,7,0.06,0.07,0.31,0.38
National Geographic Wild,10,6,0.05,0.06,0.28,0.31
AXN White,9,7,0.05,0.06,0.25,0.34
TCM,9,5,0.05,0.05,0.26,0.26
Acasa Gold,8,4,0.05,0.04,0.24,0.23
TV Paprika,10,9,0.05,0.09,0.29,0.45
Discovery,8,5,0.04,0.05,0.23,0.26
U TV,8,6,0.04,0.06,0.24,0.31
MTV Ro,6,3,0.03,0.03,0.18,0.17
National 24 PLUS,6,2,0.03,0.02,0.16,0.1
Music Channel,5,3,0.03,0.03,0.16,0.17
EuroSport 2,6,5,0.03,0.05,0.17,0.24
TV H,6,1,0.03,0.01,0.17,0.08
The Fishing and Hunting Channel,5,2,0.03,0.02,0.13,0.13
AMC,5,2,0.03,0.02,0.15,0.11
Animal Planet,4,3,0.02,0.03,0.13,0.14
AXN Black,3,2,0.02,0.02,0.09,0.13
TLC,3,3,0.02,0.03,0.1,0.16
Comedy Central Extra,3,2,0.02,0.02,0.09,0.12
CBS Reality,1,1,0.01,0.01,0.04,0.05
Hit Music,3,2,0.01,0.02,0.08,0.11
Others,559,321,3.03,3.18,16.23,16.55
