Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,739,353,4.2,3.71,17.87,16.79
Antena 1,658,315,3.74,3.31,15.92,14.98
Kanal D,456,197,2.6,2.06,11.04,9.35
Romania TV,276,150,1.57,1.57,6.69,7.12
Antena 3,191,118,1.09,1.24,4.63,5.63
TVR 1,105,45,0.6,0.47,2.54,2.14
Prima TV,88,40,0.5,0.42,2.12,1.89
National TV,83,38,0.47,0.4,2.02,1.81
Digi 24,82,63,0.47,0.66,1.99,2.97
TVR 2,64,29,0.36,0.3,1.55,1.37
Pro Cinema,63,25,0.36,0.26,1.52,1.19
DigiSport 1,63,39,0.36,0.41,1.53,1.87
Realitatea Plus,62,36,0.35,0.38,1.5,1.71
Diva,60,42,0.34,0.44,1.44,2.01
Happy Channel,54,32,0.31,0.33,1.31,1.51
B1TV,53,31,0.3,0.33,1.28,1.49
Antena Stars,49,20,0.28,0.21,1.18,0.95
Nickelodeon,49,20,0.28,0.21,1.2,0.93
Boomerang,48,20,0.27,0.21,1.17,0.96
Pro 2,40,21,0.23,0.22,0.97,1.02
Cartoon Network,36,16,0.21,0.17,0.87,0.75
Disney,35,18,0.2,0.19,0.84,0.88
Minimax,33,8,0.19,0.09,0.79,0.4
AXN,32,18,0.18,0.19,0.78,0.86
Disney Junior,32,19,0.18,0.2,0.78,0.89
ETNO,30,7,0.17,0.07,0.72,0.33
Film Cafe,28,14,0.16,0.15,0.68,0.67
TNT,22,12,0.12,0.13,0.53,0.57
AMC,21,13,0.12,0.13,0.51,0.59
Paramount,20,14,0.11,0.14,0.47,0.65
Favorit TV,19,8,0.11,0.08,0.47,0.37
Nick JR,19,8,0.11,0.09,0.47,0.4
TV1000,17,10,0.09,0.11,0.4,0.49
Pro X,16,9,0.09,0.09,0.38,0.41
History,16,11,0.09,0.12,0.39,0.55
Nicktoons,16,9,0.09,0.1,0.4,0.45
Bollywood TV,15,6,0.08,0.07,0.35,0.3
Pro Gold,14,6,0.08,0.06,0.33,0.28
Discovery,13,9,0.07,0.1,0.31,0.45
Eurosport 1,13,10,0.08,0.1,0.32,0.46
TLC,13,8,0.07,0.08,0.31,0.36
National Geographic,12,9,0.07,0.09,0.29,0.41
Comedy Central,12,10,0.07,0.1,0.29,0.46
DigiSport 2,12,7,0.07,0.07,0.28,0.31
N24 PLUS,10,3,0.06,0.03,0.25,0.14
National Geographic Wild,10,7,0.06,0.08,0.25,0.34
Look Sport+,10,4,0.05,0.04,0.23,0.19
TV Paprika,10,7,0.06,0.07,0.25,0.34
Eurosport 2,7,5,0.04,0.06,0.18,0.26
Telekom Sport 1,7,4,0.04,0.04,0.16,0.19
TVR 3,7,3,0.04,0.04,0.18,0.16
Kiss TV,6,3,0.04,0.03,0.15,0.15
Taraf TV,6,2,0.04,0.02,0.15,0.07
DigiSport 3,6,4,0.03,0.04,0.14,0.19
HGTV,6,6,0.04,0.06,0.15,0.28
ZU TV,5,2,0.03,0.02,0.13,0.1
AXN Black,5,2,0.03,0.02,0.13,0.1
AXN White,5,4,0.03,0.04,0.13,0.18
JIM JAM,5,3,0.03,0.03,0.11,0.14
Aleph News,4,2,0.02,0.02,0.11,0.09
U TV,3,2,0.02,0.02,0.08,0.1
Music Channel,3,1,0.02,0.01,0.08,0.05
Hit Music,3,2,0.02,0.02,0.07,0.09
Magic TV,3,2,0.02,0.02,0.07,0.09
DigiSport 4,3,2,0.02,0.02,0.07,0.09
Travel Channel,3,2,0.02,0.02,0.07,0.1
Duck TV,3,2,0.02,0.02,0.08,0.1
Look Sport,2,1,0.01,0.01,0.06,0.04
E! Entertainment,1,1,0.01,0.01,0.03,0.04
Rock TV,1,1,0.01,0.01,0.02,0.04
Telekom Sport 3,1,0,0,0,0.01,0.02
