Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,838,412,4.69,4.27,18.42,18.02
Antena 1,593,269,3.32,2.79,13.03,11.75
Kanal D,372,157,2.08,1.62,8.17,6.85
Romania TV,291,155,1.63,1.61,6.4,6.78
Antena 3,218,146,1.22,1.51,4.8,6.38
TVR 1,136,63,0.76,0.65,2.99,2.76
Prima TV,131,60,0.73,0.62,2.89,2.62
National TV,124,54,0.69,0.56,2.72,2.37
ETNO,89,29,0.5,0.3,1.96,1.25
Antena Stars,87,39,0.49,0.4,1.91,1.69
Pro 2,73,30,0.41,0.31,1.6,1.3
B1TV,73,42,0.41,0.44,1.6,1.86
Pro Cinema,74,30,0.41,0.31,1.63,1.3
TVR 2,72,37,0.4,0.39,1.58,1.64
Disney,68,26,0.38,0.27,1.49,1.15
Realitatea TV,63,43,0.35,0.44,1.38,1.86
Disney Junior,59,36,0.33,0.37,1.29,1.57
Digi 24,58,46,0.32,0.47,1.27,2
Favorit TV,51,15,0.29,0.15,1.13,0.64
AXN,47,28,0.26,0.29,1.04,1.24
Boomerang,47,21,0.26,0.22,1.03,0.93
Cartoon Network,46,23,0.25,0.24,1,1
DigiSport 1,44,31,0.25,0.32,0.98,1.37
Minimax,43,14,0.24,0.15,0.94,0.62
Diva,40,27,0.23,0.28,0.89,1.19
Happy Channel,38,25,0.21,0.26,0.84,1.09
Nickelodeon,37,16,0.21,0.17,0.82,0.7
Nick JR,37,10,0.21,0.11,0.81,0.46
Paramount,28,18,0.16,0.18,0.62,0.78
Pro X,26,14,0.14,0.14,0.57,0.61
Pro Gold,23,7,0.13,0.07,0.51,0.3
TNT,23,12,0.13,0.13,0.51,0.54
Film Cafe,22,13,0.12,0.14,0.48,0.58
Kiss TV,20,11,0.11,0.11,0.44,0.48
Comedy Central,18,14,0.1,0.15,0.4,0.62
Eurosport 1,17,10,0.09,0.1,0.36,0.43
TLC,15,7,0.09,0.08,0.34,0.32
Telekom Sport,16,6,0.09,0.06,0.35,0.26
Discovery,15,10,0.08,0.1,0.32,0.42
Nat Geo Wild,13,8,0.08,0.09,0.3,0.37
History,14,11,0.08,0.12,0.32,0.5
DigiSport 2,14,9,0.08,0.1,0.31,0.4
National Geographic,13,9,0.07,0.09,0.29,0.4
EuroSport 2,10,6,0.06,0.06,0.22,0.26
TV Paprika,10,8,0.06,0.09,0.22,0.36
Taraf TV,10,2,0.05,0.03,0.21,0.11
ZU TV,9,3,0.05,0.03,0.2,0.13
Bollywood TV,8,4,0.05,0.04,0.18,0.16
National 24 PLUS,7,3,0.04,0.03,0.15,0.11
U TV,7,4,0.04,0.05,0.15,0.19
AXN White,7,5,0.04,0.05,0.15,0.21
AMC,7,3,0.04,0.03,0.15,0.12
TV H,5,2,0.03,0.02,0.12,0.09
Telekom Sport 2,5,2,0.03,0.02,0.1,0.09
TV Neptun,3,1,0.02,0.01,0.06,0.04
Music Channel,4,3,0.02,0.03,0.08,0.11
Animal Planet,4,2,0.02,0.02,0.09,0.08
AXN Black,4,2,0.02,0.02,0.09,0.09
Hit Music,3,2,0.02,0.02,0.06,0.1
Nasul TV,2,1,0.01,0.01,0.04,0.06
E! Entertainment,1,1,0.01,0.01,0.03,0.05
Da Vinci Learning,1,1,0.01,0.01,0.03,0.05
