Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,196,78,1,0.7,4.8,3.4
TVR 2,65,27,0.3,0.3,1.6,1.2
Pro TV,597,327,3.1,3.1,14.5,14.2
Antena 1,486,293,2.6,2.8,11.8,12.8
Acasa,123,74,0.6,0.7,3,3.2
Prima TV,176,81,0.9,0.8,4.3,3.5
Kiss TV,22,13,0.1,0.1,0.5,0.6
Disney,87,48,0.5,0.5,2.1,2.1
Discovery,22,15,0.1,0.1,0.5,0.7
Eurosport,14,11,0.1,0.1,0.3,0.5
MTV Ro,10,7,0.1,0.1,0.2,0.3
B1TV,91,59,0.5,0.6,2.2,2.6
OTV,38,22,0.2,0.2,0.9,0.9
Minimax/A+,53,18,0.3,0.2,1.3,0.8
Realitatea TV,109,58,0.6,0.6,2.6,2.5
National Geographic,15,10,0.1,0.1,0.4,0.4
ETNO,67,32,0.4,0.3,1.6,1.4
Diva Universal,25,19,0.1,0.2,0.6,0.8
Cartoon Network,56,25,0.3,0.2,1.3,1.1
Sport.ro,44,23,0.2,0.2,1.1,1
National TV,127,61,0.7,0.6,3.1,2.7
Pro Cinema,31,20,0.2,0.2,0.8,0.9
National 24 PLUS,10,6,0.1,0.1,0.2,0.3
Favorit TV,29,11,0.2,0.1,0.7,0.5
AXN,26,17,0.1,0.2,0.6,0.7
Antena 3,227,162,1.2,1.5,5.5,7.1
U TV,14,9,0.1,0.1,0.3,0.4
Euforia,18,15,0.1,0.1,0.4,0.6
Romantica,4,4,0,0,0.1,0.2
Kanal D,327,162,1.7,1.5,7.9,7.1
Antena 2,41,26,0.2,0.2,1,1.1
Sport 1,1,1,0,0,0,0
MGM,8,5,0,0,0.2,0.2
Taraf TV,25,13,0.1,0.1,0.6,0.6
TV Neptun,3,1,0,0,0.1,0.1
Zone Reality,4,3,0,0,0.1,0.1
National Geographic Wild,7,4,0,0,0.2,0.2
Music Channel,9,6,0,0.1,0.2,0.3
gspTV,14,7,0.1,0.1,0.3,0.3
Animal Planet,7,4,0,0,0.2,0.2
AXN Sci Fi,5,4,0,0,0.1,0.2
AXN Crime,4,4,0,0,0.1,0.2
Universal Channel,14,11,0.1,0.1,0.3,0.5
Mynele TV,12,3,0.1,0,0.3,0.1
EuroSport 2,5,4,0,0,0.1,0.2
TCM,9,5,0,0,0.2,0.2
TLC,2,2,0,0,0.1,0.1
Dolce Sport,12,4,0.1,0,0.3,0.2
Boomerang,27,15,0.1,0.1,0.6,0.6
Romania TV,101,65,0.5,0.6,2.5,2.8
Others,644,364,3.4,3.5,15.6,15.8
TVH2O,0,0,0,0,0,0
Disney Junior,37,21,0.2,0.2,0.9,0.9
GiGa TV,2,1,0,0,0.1,0
Hit Music,2,2,0,0,0.1,0.1
Acasa Gold,7,3,0,0,0.2,0.1
Transilvania Live,2,1,0,0,0,0
Transilvania Look,2,1,0,0,0,0
TV Paprika,10,7,0.1,0.1,0.2,0.3
