Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,765,341,4.39,3.65,19.92,17.94
Antena 1,488,229,2.8,2.45,12.7,12.03
Kanal D,432,189,2.48,2.03,11.24,9.95
Romania TV,264,137,1.52,1.47,6.87,7.21
Antena 3 CNN,173,105,0.99,1.12,4.51,5.52
Antena Stars,113,43,0.65,0.46,2.95,2.25
Happy Channel,89,40,0.51,0.43,2.32,2.1
Realitatea Plus,75,42,0.43,0.45,1.96,2.19
Film Cafe,74,29,0.42,0.31,1.92,1.54
Pro Cinema,69,26,0.4,0.28,1.8,1.37
Digi 24,64,42,0.37,0.45,1.66,2.22
Prima TV,61,30,0.35,0.32,1.59,1.58
National TV,59,29,0.34,0.32,1.54,1.55
TVR 1,52,28,0.3,0.3,1.37,1.48
TVR 2,45,22,0.26,0.24,1.17,1.17
DigiSport 1,42,29,0.24,0.31,1.1,1.52
AMC,41,20,0.24,0.21,1.08,1.05
Acasa,35,18,0.2,0.2,0.92,0.96
Cartoon Network,35,21,0.2,0.23,0.9,1.11
Cinemaraton,34,15,0.2,0.16,0.89,0.76
ETNO,33,10,0.19,0.11,0.87,0.52
Boomerang,32,16,0.18,0.18,0.83,0.86
Diva,31,23,0.18,0.25,0.8,1.2
Minimax,30,9,0.17,0.1,0.78,0.49
Nickelodeon,30,13,0.17,0.14,0.77,0.67
B1TV,25,13,0.14,0.14,0.66,0.69
Disney Junior,25,15,0.14,0.16,0.64,0.79
AXN,24,16,0.14,0.17,0.63,0.85
Warner TV,20,10,0.11,0.11,0.52,0.54
Bollywood TV,19,10,0.11,0.11,0.48,0.54
Eurosport 1,18,13,0.1,0.14,0.47,0.68
History,18,13,0.11,0.14,0.48,0.69
TV1000,15,10,0.08,0.11,0.38,0.53
Pro Arena,14,7,0.08,0.07,0.36,0.36
DigiSport 2,14,9,0.08,0.1,0.36,0.49
Nicktoons,14,6,0.08,0.06,0.36,0.29
Disney,13,6,0.07,0.07,0.34,0.34
Acasa Gold,13,8,0.08,0.09,0.35,0.43
TVR 3,13,6,0.07,0.07,0.34,0.33
TraLaLa TV,12,7,0.07,0.08,0.31,0.39
Favorit TV,11,4,0.06,0.04,0.28,0.19
Nick JR,11,8,0.06,0.08,0.27,0.4
TeenNick,11,7,0.06,0.08,0.29,0.38
Discovery,9,8,0.05,0.09,0.24,0.43
National Geographic,9,5,0.05,0.06,0.22,0.28
N24 PLUS,9,3,0.05,0.03,0.23,0.16
Taraf TV,9,3,0.05,0.03,0.23,0.17
Prima Sport 1,9,4,0.05,0.04,0.23,0.21
National Geographic Wild,8,5,0.05,0.05,0.22,0.24
Comedy Central,8,7,0.05,0.08,0.22,0.37
TLC,7,5,0.04,0.05,0.19,0.27
Kiss TV,6,3,0.04,0.03,0.16,0.17
Eurosport 2,6,4,0.03,0.05,0.15,0.23
TV Paprika,6,5,0.04,0.05,0.16,0.24
DigiSport 3,6,4,0.03,0.04,0.15,0.2
JIM JAM,6,3,0.03,0.03,0.14,0.14
Viasat History,6,4,0.03,0.05,0.15,0.23
Viasat Explore,6,4,0.03,0.04,0.15,0.2
ZU TV,5,2,0.03,0.02,0.13,0.12
HGTV,5,3,0.03,0.04,0.12,0.17
TVR Info,5,3,0.03,0.03,0.12,0.14
AXN Black,4,3,0.02,0.03,0.1,0.14
AXN White,4,3,0.02,0.03,0.1,0.14
Travel Channel,4,3,0.02,0.04,0.1,0.18
CBS Reality,4,3,0.02,0.03,0.09,0.16
AXN Spin,4,3,0.02,0.03,0.11,0.15
U TV,3,2,0.02,0.03,0.08,0.13
Orange Sport 1,3,2,0.02,0.02,0.08,0.1
Prima Sport 2,3,1,0.02,0.01,0.07,0.06
Magic TV,3,2,0.01,0.02,0.07,0.08
DigiSport 4,3,2,0.02,0.02,0.07,0.1
Aleph News,3,2,0.02,0.02,0.07,0.08
EuroNews,3,2,0.02,0.02,0.07,0.11
Music Channel,2,0,0.01,0,0.04,0.02
Duck TV,2,2,0.01,0.02,0.05,0.08
Metropola TV,2,1,0.01,0.01,0.05,0.06
A7 TV,2,2,0.01,0.02,0.06,0.1
Hit Music,1,1,0.01,0.01,0.03,0.03
E! Entertainment,1,1,0.01,0.01,0.03,0.03
Orange Sport 3,1,0,0,0,0.02,0.02
Prima Sport 3,1,0,0,0,0.02,0.02
Prima News,1,1,0.01,0.01,0.02,0.03
Rock TV,0,0,0,0,0.01,0.01
Canal 33,0,0,0,0,0.01,0.01
