Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,235,90,1.2,0.9,4.3,3.2
TVR 2,93,44,0.5,0.4,1.7,1.6
Pro TV,837,427,4.4,4.1,15.3,15.2
Antena 1,640,346,3.4,3.3,11.7,12.3
Acasa,127,75,0.7,0.7,2.3,2.7
Prima TV,245,114,1.3,1.1,4.5,4
Kiss TV,29,18,0.2,0.2,0.5,0.6
Disney,113,60,0.6,0.6,2.1,2.1
Discovery,17,7,0.1,0.1,0.3,0.3
Eurosport,16,12,0.1,0.1,0.3,0.4
MTV Ro,9,6,0,0.1,0.2,0.2
B1TV,118,72,0.6,0.7,2.2,2.6
OTV,53,25,0.3,0.2,1,0.9
Minimax/A+,75,19,0.4,0.2,1.4,0.7
Realitatea TV,132,64,0.7,0.6,2.4,2.3
National Geographic,22,14,0.1,0.1,0.4,0.5
ETNO,126,44,0.7,0.4,2.3,1.6
Diva Universal,31,25,0.2,0.2,0.6,0.9
Cartoon Network,72,29,0.4,0.3,1.3,1
Sport.ro,43,22,0.2,0.2,0.8,0.8
National TV,152,73,0.8,0.7,2.8,2.6
Pro Cinema,56,28,0.3,0.3,1,1
National 24 PLUS,18,9,0.1,0.1,0.3,0.3
Favorit TV,59,20,0.3,0.2,1.1,0.7
AXN,34,23,0.2,0.2,0.6,0.8
Antena 3,299,199,1.6,1.9,5.5,7.1
U TV,15,10,0.1,0.1,0.3,0.3
Euforia,22,18,0.1,0.2,0.4,0.6
Film Cafe,14,11,0.1,0.1,0.3,0.4
Kanal D,428,202,2.2,1.9,7.8,7.2
Antena 2,54,33,0.3,0.3,1,1.2
Sport 1/Megamax,1,1,0,0,0,0
MGM,10,5,0.1,0.1,0.2,0.2
Taraf TV,34,16,0.2,0.1,0.6,0.6
TV Neptun,4,2,0,0,0.1,0.1
CBS Reality,4,3,0,0,0.1,0.1
National Geographic Wild,10,7,0.1,0.1,0.2,0.2
Music Channel,13,7,0.1,0.1,0.2,0.2
gspTV,15,7,0.1,0.1,0.3,0.2
Animal Planet,9,4,0,0,0.2,0.1
AXN Sci Fi,6,5,0,0,0.1,0.2
AXN Crime,5,3,0,0,0.1,0.1
Universal Channel,18,14,0.1,0.1,0.3,0.5
Mynele TV,17,6,0.1,0.1,0.3,0.2
EuroSport 2,9,6,0,0.1,0.2,0.2
TCM,15,8,0.1,0.1,0.3,0.3
TLC,2,2,0,0,0,0.1
Dolce Sport,9,3,0,0,0.2,0.1
Boomerang,41,21,0.2,0.2,0.8,0.8
Romania TV,153,95,0.8,0.9,2.8,3.4
Others,791,409,4.2,3.9,14.5,14.5
TVH2O,2,1,0,0,0,0
Disney Junior,62,34,0.3,0.3,1.1,1.2
GiGa TV,4,2,0,0,0.1,0.1
Hit Music,5,4,0,0,0.1,0.2
Acasa Gold,14,5,0.1,0.1,0.3,0.2
Transilvania Live,3,2,0,0,0.1,0.1
Look TV,3,1,0,0,0,0.1
TV Paprika,12,8,0.1,0.1,0.2,0.3
