Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Antena 1,418,235,2.27,2.33,12.11,11.83
Pro TV,406,243,2.2,2.41,11.78,12.23
Kanal D,342,172,1.85,1.7,9.91,8.65
Antena 3,214,147,1.16,1.46,6.22,7.41
Romania TV,173,97,0.94,0.96,5.03,4.88
TVR 1,110,46,0.6,0.45,3.2,2.31
Acasa,102,65,0.55,0.64,2.94,3.27
National TV,99,55,0.54,0.55,2.88,2.78
Prima TV,86,47,0.47,0.47,2.49,2.38
Disney,80,40,0.43,0.4,2.32,2.01
Antena Stars,79,45,0.43,0.45,2.29,2.28
B1TV,70,46,0.38,0.45,2.02,2.31
Cartoon Network,64,27,0.35,0.26,1.86,1.34
Realitatea TV,56,36,0.31,0.36,1.64,1.82
Disney Junior,45,30,0.24,0.3,1.3,1.5
Pro Cinema,42,23,0.23,0.22,1.23,1.13
Boomerang,42,21,0.23,0.21,1.22,1.04
Digi 24,43,36,0.23,0.35,1.23,1.79
ETNO,40,18,0.22,0.18,1.17,0.89
TVR 2,37,21,0.2,0.21,1.08,1.08
Nickelodeon,31,18,0.17,0.18,0.9,0.9
Minimax/A+,27,7,0.15,0.07,0.78,0.37
Sport.ro,27,14,0.15,0.14,0.78,0.71
AXN,25,20,0.14,0.19,0.73,0.98
Euforia,21,17,0.12,0.17,0.62,0.86
Kiss TV,20,11,0.11,0.11,0.57,0.55
Taraf TV,20,7,0.11,0.06,0.57,0.33
Diva,19,15,0.1,0.15,0.55,0.76
Favorit TV,19,8,0.1,0.08,0.54,0.4
History Channel,18,15,0.1,0.15,0.52,0.76
Dolce Sport,15,3,0.08,0.03,0.42,0.16
Paramount,13,10,0.07,0.1,0.39,0.52
Eurosport,12,10,0.06,0.1,0.34,0.51
National Geographic,10,7,0.06,0.07,0.3,0.37
ZU TV,12,6,0.06,0.06,0.34,0.31
Discovery,10,6,0.05,0.06,0.28,0.31
U TV,9,7,0.05,0.07,0.25,0.34
Film Cafe,9,6,0.05,0.06,0.27,0.29
National Geographic Wild,9,6,0.05,0.06,0.27,0.28
TV Paprika,9,7,0.05,0.07,0.25,0.36
AXN White,8,6,0.04,0.06,0.24,0.29
TCM,8,5,0.04,0.05,0.23,0.24
Acasa Gold,8,4,0.04,0.04,0.24,0.22
MTV Ro,6,4,0.03,0.04,0.17,0.19
National 24 PLUS,5,2,0.03,0.02,0.15,0.09
Music Channel,6,3,0.03,0.03,0.17,0.16
EuroSport 2,5,4,0.03,0.04,0.15,0.21
AMC,5,2,0.03,0.02,0.15,0.11
Animal Planet,5,3,0.02,0.03,0.13,0.15
AXN Black,4,3,0.02,0.03,0.11,0.14
TLC,3,3,0.02,0.03,0.1,0.16
TV H,4,1,0.02,0.01,0.11,0.07
The Fishing and Hunting Channel,4,2,0.02,0.02,0.12,0.13
Comedy Central Extra,3,3,0.02,0.03,0.1,0.14
CBS Reality,1,1,0.01,0.01,0.03,0.04
Hit Music,2,2,0.01,0.02,0.06,0.09
Others,476,282,2.58,2.8,13.8,14.21
