Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,183,82,1,0.8,5.2,4.1
TVR 2,60,27,0.3,0.3,1.7,1.3
Pro TV,422,227,2.2,2.2,11.9,11.4
Antena 1,347,193,1.8,1.8,9.8,9.7
Acasa,113,69,0.6,0.7,3.2,3.4
Prima TV,115,59,0.6,0.6,3.3,3
Kiss TV,21,13,0.1,0.1,0.6,0.6
Disney,97,55,0.5,0.5,2.7,2.7
Discovery,20,14,0.1,0.1,0.6,0.7
Eurosport,20,17,0.1,0.2,0.6,0.8
MTV Ro,8,6,0,0.1,0.2,0.3
B1TV,113,74,0.6,0.7,3.2,3.7
OTV,30,18,0.2,0.2,0.8,0.9
Minimax/A+,60,22,0.3,0.2,1.7,1.1
Realitatea TV,138,70,0.7,0.7,3.9,3.5
National Geographic,12,9,0.1,0.1,0.3,0.5
ETNO,64,29,0.3,0.3,1.8,1.4
Diva Universal,22,18,0.1,0.2,0.6,0.9
Cartoon Network,55,25,0.3,0.2,1.5,1.3
Sport.ro,34,18,0.2,0.2,1,0.9
National TV,113,56,0.6,0.5,3.2,2.8
Pro Cinema,28,19,0.1,0.2,0.8,1
National 24 PLUS,9,5,0,0,0.3,0.2
Favorit TV,23,9,0.1,0.1,0.6,0.4
AXN,24,19,0.1,0.2,0.7,1
Antena 3,286,206,1.5,2,8,10.3
U TV,13,7,0.1,0.1,0.4,0.4
Euforia,17,14,0.1,0.1,0.5,0.7
Romantica,6,4,0,0,0.2,0.2
Kanal D,198,99,1,0.9,5.6,4.9
Antena 2,24,15,0.1,0.1,0.7,0.8
Sport 1,1,0,0,0,0,0
MGM,7,4,0,0,0.2,0.2
Taraf TV,21,10,0.1,0.1,0.6,0.5
TV Neptun,4,2,0,0,0.1,0.1
Zone Reality,5,5,0,0,0.1,0.2
National Geographic Wild,4,2,0,0,0.1,0.1
Music Channel,8,4,0,0,0.2,0.2
gspTV,16,7,0.1,0.1,0.5,0.3
Animal Planet,8,5,0,0,0.2,0.3
AXN Sci Fi,5,4,0,0,0.1,0.2
AXN Crime,6,5,0,0.1,0.2,0.3
Universal Channel,10,9,0.1,0.1,0.3,0.4
Mynele TV,11,3,0.1,0,0.3,0.1
EuroSport 2,5,3,0,0,0.1,0.2
TCM,7,5,0,0,0.2,0.2
TLC,4,4,0,0,0.1,0.2
Dolce Sport,8,3,0,0,0.2,0.2
Boomerang,28,13,0.1,0.1,0.8,0.7
Romania TV,96,57,0.5,0.5,2.7,2.8
Others,597,332,3.1,3.2,16.8,16.7
TVH2O,1,1,0,0,0,0
Disney Junior,16,12,0.1,0.1,0.4,0.6
GiGa TV,1,1,0,0,0,0
Hit Music,1,1,0,0,0,0
Acasa Gold,4,2,0,0,0.1,0.1
Transilvania Live,2,1,0,0,0.1,0
Transilvania Look,2,1,0,0,0.1,0.1
