Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,198,79,1.04,0.75,3.75,2.86
TVR 2,94,38,0.5,0.36,1.79,1.38
Pro TV,808,413,4.25,3.93,15.32,14.98
Antena 1,687,369,3.61,3.52,13.03,13.4
Acasa,135,73,0.71,0.7,2.57,2.66
Prima TV,228,109,1.2,1.04,4.33,3.97
Kiss TV,27,15,0.14,0.14,0.51,0.55
Disney,110,56,0.58,0.53,2.08,2.02
Discovery,19,8,0.1,0.08,0.35,0.31
Eurosport,14,10,0.07,0.09,0.26,0.36
MTV Ro,9,6,0.05,0.06,0.17,0.23
B1TV,109,65,0.57,0.62,2.06,2.37
Minimax/A+,60,16,0.31,0.16,1.13,0.6
Realitatea TV,101,50,0.53,0.48,1.91,1.83
National Geographic,21,15,0.11,0.14,0.4,0.53
ETNO,119,36,0.63,0.34,2.26,1.29
Diva Universal,32,26,0.17,0.25,0.6,0.93
Cartoon Network,65,27,0.34,0.25,1.23,0.96
Sport.ro,42,23,0.22,0.22,0.79,0.83
National TV,159,81,0.84,0.77,3.02,2.95
Pro Cinema,43,25,0.23,0.24,0.82,0.92
National 24 PLUS,10,6,0.05,0.06,0.2,0.22
Favorit TV,53,16,0.28,0.16,1.01,0.6
AXN,51,38,0.27,0.36,0.97,1.38
Antena 3,262,173,1.38,1.65,4.97,6.29
U TV,17,12,0.09,0.11,0.32,0.43
Euforia,29,23,0.15,0.22,0.55,0.83
Film Cafe,17,11,0.09,0.11,0.32,0.4
Kanal D,340,168,1.79,1.6,6.44,6.11
Antena Stars,67,40,0.35,0.38,1.28,1.46
Sport 1/Megamax,3,2,0.01,0.02,0.05,0.08
Taraf TV,29,13,0.15,0.12,0.55,0.47
TV Neptun,6,3,0.03,0.03,0.12,0.11
CBS Reality,2,1,0.01,0.01,0.04,0.05
National Geographic Wild,10,6,0.05,0.06,0.19,0.23
Music Channel,12,6,0.07,0.06,0.24,0.22
gspTV,17,9,0.09,0.08,0.31,0.31
Animal Planet,9,4,0.04,0.04,0.16,0.15
AXN Black,5,3,0.03,0.03,0.1,0.11
AXN White,7,4,0.04,0.04,0.13,0.15
Universal Channel,22,17,0.12,0.16,0.42,0.61
Mynele TV,23,4,0.12,0.04,0.44,0.14
EuroSport 2,10,8,0.05,0.07,0.19,0.28
TCM,11,7,0.06,0.07,0.22,0.25
TLC,3,2,0.02,0.02,0.06,0.07
Dolce Sport,20,7,0.11,0.07,0.38,0.26
Boomerang,45,24,0.24,0.23,0.86,0.88
Romania TV,178,90,0.94,0.86,3.38,3.28
Others,761,407,4,3.88,14.43,14.79
TVH2O,4,1,0.02,0.01,0.07,0.05
Disney Junior,69,44,0.36,0.42,1.32,1.59
Hit Music,4,3,0.02,0.03,0.07,0.11
Acasa Gold,13,7,0.07,0.06,0.24,0.24
Look TV - 31.12.2013,11,6,0.06,0.05,0.21,0.21
TV Paprika,9,7,0.05,0.07,0.18,0.26
History Channel,17,14,0.09,0.13,0.32,0.51
PV TV,5,2,0.02,0.02,0.09,0.07
VH1,2,2,0.01,0.02,0.04,0.07
Nickelodeon,38,21,0.2,0.2,0.73,0.77
Comedy Central Extra,1,0,0.01,0,0.02,0.02
