Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,593,321,3.3,3.3,17.21,17.61
Kanal D,387,172,2.15,1.77,11.22,9.44
Antena 1,355,191,1.98,1.96,10.31,10.46
Romania TV,212,113,1.18,1.16,6.15,6.18
Antena 3,205,133,1.14,1.37,5.93,7.3
National TV,103,43,0.58,0.44,3,2.34
Prima TV,102,50,0.57,0.52,2.96,2.76
Antena Stars,90,44,0.5,0.45,2.62,2.39
TVR 1,80,34,0.45,0.35,2.33,1.84
Disney,62,25,0.34,0.26,1.79,1.39
Acasa,59,26,0.33,0.27,1.71,1.44
B1TV,59,33,0.33,0.34,1.72,1.84
Realitatea TV,57,37,0.32,0.38,1.65,2.05
TVR 2,52,29,0.29,0.3,1.5,1.61
ETNO,53,15,0.29,0.16,1.53,0.83
Cartoon Network,51,25,0.29,0.26,1.49,1.37
Digi 24,50,40,0.28,0.41,1.44,2.19
Pro Cinema,48,21,0.27,0.22,1.4,1.18
Disney Junior,48,31,0.27,0.32,1.39,1.71
Nickelodeon,41,17,0.23,0.18,1.18,0.95
Boomerang,38,21,0.21,0.21,1.1,1.13
Minimax,36,15,0.2,0.15,1.03,0.82
AXN,35,24,0.19,0.25,1.01,1.32
Diva,27,18,0.15,0.18,0.78,0.98
Favorit TV,27,7,0.15,0.08,0.77,0.4
Happy Channel,28,18,0.15,0.19,0.8,0.99
Eurosport 1,22,16,0.12,0.16,0.64,0.87
Paramount,22,13,0.12,0.14,0.63,0.73
DigiSport 1,21,17,0.12,0.18,0.62,0.94
Nick JR,20,4,0.11,0.04,0.58,0.21
Film Cafe,18,10,0.1,0.1,0.53,0.52
Kiss TV,16,8,0.09,0.08,0.45,0.42
Sport.ro,15,8,0.09,0.08,0.45,0.44
TLC,15,9,0.09,0.09,0.45,0.48
Comedy Central,12,10,0.07,0.1,0.35,0.53
TNT,13,6,0.07,0.06,0.37,0.31
DigiSport 2,13,10,0.07,0.1,0.37,0.56
Bollywood TV,12,4,0.07,0.04,0.35,0.2
Discovery,10,7,0.06,0.07,0.29,0.39
National Geographic,11,8,0.06,0.08,0.33,0.44
Taraf TV,11,3,0.06,0.03,0.32,0.15
ZU TV,10,4,0.06,0.04,0.3,0.22
Acasa Gold,11,4,0.06,0.04,0.32,0.2
History,11,10,0.06,0.1,0.33,0.52
National Geographic Wild,8,5,0.04,0.05,0.23,0.26
EuroSport 2,8,5,0.04,0.06,0.23,0.3
TV Paprika,8,6,0.04,0.07,0.22,0.35
U TV,6,4,0.03,0.04,0.18,0.19
AXN White,6,3,0.03,0.03,0.16,0.17
Dolce Sport,5,2,0.03,0.02,0.16,0.1
TV H,5,1,0.03,0.01,0.14,0.08
National 24 PLUS,4,1,0.02,0.01,0.11,0.07
Music Channel,4,2,0.02,0.03,0.13,0.14
Animal Planet,4,2,0.02,0.02,0.11,0.09
Hit Music,3,3,0.02,0.03,0.1,0.16
AMC,3,1,0.02,0.02,0.1,0.08
TV Neptun,1,1,0.01,0.01,0.04,0.03
AXN Black,2,2,0.01,0.02,0.07,0.1
Nasul TV,2,1,0.01,0.01,0.05,0.05
Dolce Sport 2,3,1,0.01,0.01,0.08,0.04
