Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,465,273,2.52,2.71,12.82,13.21
Antena 1,438,259,2.38,2.56,12.09,12.51
Kanal D,338,163,1.83,1.62,9.31,7.89
Antena 3,216,147,1.17,1.46,5.96,7.1
Romania TV,196,109,1.06,1.08,5.4,5.26
TVR 1,138,56,0.75,0.56,3.79,2.73
National TV,93,52,0.5,0.52,2.57,2.52
Prima TV,91,50,0.49,0.5,2.5,2.42
Disney,82,40,0.44,0.4,2.26,1.96
Acasa,78,46,0.42,0.45,2.15,2.21
Antena Stars,77,47,0.42,0.46,2.14,2.25
B1TV,75,47,0.41,0.47,2.07,2.3
Cartoon Network,58,26,0.32,0.26,1.61,1.25
Disney Junior,52,33,0.28,0.32,1.44,1.58
Realitatea TV,50,35,0.27,0.34,1.39,1.68
Digi 24,45,38,0.24,0.37,1.23,1.82
Boomerang,41,20,0.22,0.2,1.14,0.99
ETNO,40,14,0.21,0.14,1.09,0.68
Pro Cinema,37,20,0.2,0.2,1.02,0.98
TVR 2,33,20,0.18,0.2,0.91,0.96
Minimax/A+,32,9,0.17,0.09,0.88,0.43
Sport.ro,31,17,0.17,0.16,0.85,0.8
AXN,29,22,0.16,0.22,0.79,1.06
Nickelodeon,29,19,0.16,0.19,0.81,0.91
Eurosport,24,18,0.13,0.18,0.65,0.89
Euforia,24,17,0.13,0.17,0.65,0.81
Kiss TV,20,10,0.11,0.1,0.56,0.5
Diva,21,16,0.11,0.16,0.57,0.8
Dolce Sport,21,6,0.11,0.06,0.58,0.28
Favorit TV,19,8,0.1,0.08,0.53,0.38
Taraf TV,19,7,0.1,0.07,0.52,0.35
History Channel,18,15,0.1,0.15,0.49,0.72
Paramount,15,12,0.08,0.12,0.42,0.6
ZU TV,12,7,0.07,0.06,0.33,0.31
National Geographic,12,7,0.06,0.07,0.33,0.36
EuroSport 2,10,8,0.06,0.08,0.28,0.37
Discovery,8,4,0.05,0.04,0.23,0.22
U TV,8,6,0.05,0.06,0.23,0.31
Film Cafe,9,6,0.05,0.05,0.24,0.27
National Geographic Wild,9,6,0.05,0.06,0.25,0.28
TV Paprika,10,8,0.05,0.08,0.27,0.41
MTV Ro,7,4,0.04,0.04,0.18,0.21
AXN White,7,6,0.04,0.06,0.2,0.28
TCM,7,4,0.04,0.04,0.19,0.19
Acasa Gold,7,3,0.04,0.03,0.2,0.14
National 24 PLUS,4,2,0.02,0.02,0.12,0.07
Music Channel,4,2,0.02,0.02,0.11,0.11
Animal Planet,4,2,0.02,0.02,0.1,0.11
AXN Black,4,2,0.02,0.02,0.1,0.12
TV H,5,2,0.02,0.02,0.13,0.09
The Fishing and Hunting Channel,4,3,0.02,0.03,0.11,0.13
Comedy Central Extra,3,3,0.02,0.03,0.09,0.14
AMC,4,2,0.02,0.02,0.11,0.08
CBS Reality,1,1,0.01,0.01,0.04,0.04
TLC,3,2,0.01,0.02,0.07,0.11
Hit Music,2,2,0.01,0.02,0.06,0.08
Others,535,304,2.9,3.01,14.76,14.71
