Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,805,379,4.52,3.95,17.84,17.08
Antena 1,630,292,3.54,3.04,13.96,13.16
Kanal D,366,141,2.05,1.47,8.11,6.36
Romania TV,279,140,1.57,1.46,6.19,6.3
Antena 3,214,143,1.2,1.49,4.75,6.46
National TV,123,53,0.69,0.56,2.74,2.4
TVR 1,118,58,0.66,0.61,2.61,2.62
Prima TV,112,47,0.63,0.49,2.47,2.11
Antena Stars,101,43,0.57,0.45,2.23,1.93
Pro 2,87,39,0.49,0.41,1.92,1.77
TVR 2,83,41,0.46,0.43,1.83,1.84
ETNO,81,23,0.46,0.24,1.8,1.03
Realitatea TV,69,46,0.39,0.48,1.53,2.06
Pro Cinema,69,26,0.38,0.27,1.52,1.18
Digi 24,61,44,0.34,0.46,1.35,2
B1TV,60,35,0.34,0.36,1.33,1.57
DigiSport 1,60,43,0.34,0.45,1.34,1.96
Boomerang,57,26,0.32,0.27,1.26,1.16
Favorit TV,56,16,0.31,0.17,1.24,0.73
Minimax,55,21,0.31,0.22,1.21,0.95
Cartoon Network,54,25,0.3,0.26,1.2,1.11
Diva,49,36,0.27,0.37,1.08,1.62
Disney Junior,48,23,0.27,0.24,1.05,1.02
Disney,47,17,0.26,0.18,1.03,0.78
AXN,42,25,0.24,0.26,0.93,1.14
Nickelodeon,36,16,0.2,0.17,0.8,0.74
Happy Channel,33,20,0.19,0.21,0.74,0.9
Nick JR,32,10,0.18,0.1,0.7,0.45
Paramount,29,19,0.16,0.2,0.64,0.85
Film Cafe,25,13,0.14,0.13,0.54,0.58
TNT,24,10,0.13,0.11,0.53,0.46
Look Plus,21,9,0.12,0.09,0.46,0.4
Taraf TV,20,6,0.11,0.06,0.44,0.27
Pro Gold,19,9,0.11,0.09,0.43,0.39
Kiss TV,18,7,0.1,0.07,0.41,0.32
History,18,14,0.1,0.14,0.39,0.61
Pro X,17,10,0.1,0.1,0.38,0.44
DigiSport 2,14,10,0.08,0.11,0.31,0.46
Bollywood TV,14,8,0.08,0.08,0.31,0.35
Discovery,13,9,0.07,0.1,0.29,0.43
N24 PLUS,13,5,0.07,0.05,0.28,0.2
ZU TV,13,4,0.07,0.04,0.29,0.19
Eurosport 1,12,9,0.07,0.09,0.27,0.38
Comedy Central,12,10,0.07,0.11,0.27,0.46
National Geographic,10,7,0.06,0.07,0.22,0.32
Nat Geo Wild,10,8,0.06,0.08,0.22,0.36
TLC,9,7,0.05,0.07,0.21,0.31
TV Paprika,9,8,0.05,0.08,0.21,0.35
EuroSport 2,8,6,0.04,0.06,0.18,0.25
Telekom Sport 1,8,4,0.05,0.04,0.18,0.16
DigiSport 3,8,6,0.04,0.06,0.17,0.25
TV H,7,3,0.04,0.04,0.17,0.15
Look Sport,7,2,0.04,0.03,0.16,0.11
AMC,6,3,0.04,0.03,0.14,0.14
U TV,5,3,0.03,0.03,0.1,0.13
AXN Black,5,2,0.03,0.02,0.11,0.08
AXN White,5,3,0.03,0.03,0.1,0.12
Animal Planet,4,1,0.02,0.02,0.09,0.07
DigiSport 4,4,2,0.02,0.03,0.08,0.11
Music Channel,3,2,0.02,0.02,0.08,0.09
Hit Music,3,2,0.02,0.03,0.06,0.11
Nasul TV,3,1,0.01,0.01,0.06,0.05
E! Entertainment,2,1,0.01,0.01,0.03,0.06
Rock TV,1,0,0,0,0.01,0.02
Magic TV,1,0,0,0,0.01,0.02
Telekom Sport 3,1,0,0.01,0,0.02,0.01
