Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,660,367,3.6,3.68,15.79,15.87
Antena 1,551,309,3.01,3.1,13.2,13.37
Kanal D,409,201,2.23,2.02,9.79,8.71
Romania TV,215,124,1.18,1.24,5.15,5.36
Antena 3,192,136,1.05,1.36,4.61,5.88
National TV,108,48,0.59,0.48,2.6,2.08
Prima TV,105,52,0.58,0.52,2.52,2.23
Acasa,91,43,0.5,0.43,2.18,1.85
TVR 1,89,44,0.49,0.44,2.14,1.89
Antena Stars,90,47,0.49,0.47,2.15,2.04
Disney,83,35,0.45,0.36,1.98,1.53
B1TV,68,45,0.37,0.45,1.63,1.93
Pro Cinema,66,30,0.36,0.3,1.58,1.3
ETNO,61,19,0.33,0.19,1.45,0.82
Cartoon Network,59,25,0.32,0.25,1.42,1.09
Disney Junior,47,30,0.26,0.3,1.14,1.31
DigiSport 1,48,38,0.26,0.38,1.15,1.65
AXN,46,32,0.25,0.32,1.1,1.38
Minimax/A+,38,15,0.21,0.15,0.91,0.66
Realitatea TV,39,26,0.21,0.26,0.93,1.13
Digi 24,38,33,0.21,0.33,0.91,1.42
Boomerang,37,19,0.2,0.19,0.89,0.81
Favorit TV,32,9,0.18,0.09,0.77,0.4
TVR 2,30,18,0.16,0.18,0.72,0.77
Sport.ro,26,14,0.14,0.14,0.61,0.62
Happy Channel,26,20,0.14,0.2,0.63,0.88
Paramount,22,15,0.12,0.15,0.53,0.65
Diva,20,16,0.11,0.16,0.49,0.69
Nickelodeon,21,13,0.11,0.13,0.5,0.56
Eurosport 1,19,14,0.1,0.14,0.44,0.61
Taraf TV,18,5,0.1,0.05,0.43,0.2
Dolce Sport 1,19,7,0.1,0.07,0.46,0.29
Kiss TV,16,9,0.09,0.09,0.39,0.39
National Geographic,12,9,0.07,0.09,0.29,0.39
Film Cafe,13,8,0.07,0.08,0.31,0.35
DigiSport 2,13,12,0.07,0.12,0.32,0.51
National Geographic Wild,11,7,0.06,0.07,0.26,0.29
ZU TV,12,6,0.06,0.06,0.28,0.24
Acasa Gold,10,5,0.06,0.05,0.25,0.22
History Channel,12,10,0.06,0.1,0.28,0.43
Discovery,9,6,0.05,0.06,0.21,0.24
EuroSport 2,9,7,0.05,0.07,0.22,0.31
TV Paprika,9,7,0.05,0.07,0.21,0.29
TNT,9,4,0.05,0.04,0.22,0.18
Dolce Sport 2,8,3,0.05,0.03,0.2,0.12
U TV,6,5,0.03,0.05,0.15,0.21
AXN White,5,3,0.03,0.03,0.11,0.13
Comedy Central Extra,6,4,0.03,0.04,0.14,0.19
TV Neptun,3,1,0.02,0.01,0.07,0.06
Music Channel,4,2,0.02,0.02,0.09,0.08
Animal Planet,4,2,0.02,0.02,0.1,0.09
AXN Black,4,3,0.02,0.03,0.09,0.11
TLC,4,2,0.02,0.02,0.09,0.1
TV H,4,2,0.02,0.02,0.09,0.08
Hit Music,3,3,0.02,0.03,0.08,0.12
AMC,4,3,0.02,0.03,0.1,0.11
MTV Ro,1,0,0.01,0,0.04,0.01
National 24 PLUS,3,1,0.01,0.01,0.06,0.05
Nasul TV,2,1,0.01,0.01,0.04,0.04
Others,606,340,3.31,3.41,14.52,14.68
