Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,590,308,3.3,3.2,16.67,16.27
Antena 1,421,217,2.35,2.26,11.88,11.49
Kanal D,305,136,1.7,1.41,8.61,7.17
Romania TV,247,128,1.38,1.33,6.98,6.76
TVR 1,218,122,1.22,1.27,6.15,6.44
Antena 3,209,140,1.17,1.45,5.91,7.38
Prima TV,94,44,0.52,0.45,2.65,2.31
National TV,88,41,0.49,0.43,2.47,2.18
Antena Stars,82,39,0.46,0.4,2.3,2.05
Realitatea TV,71,48,0.4,0.5,2.01,2.52
Pro 2,65,28,0.36,0.29,1.83,1.48
Cartoon Network,55,28,0.31,0.29,1.56,1.48
TVR 2,54,29,0.3,0.31,1.52,1.55
B1TV,54,31,0.3,0.32,1.52,1.63
Disney,51,22,0.29,0.23,1.44,1.15
ETNO,51,14,0.28,0.14,1.44,0.73
Pro Cinema,46,21,0.26,0.22,1.3,1.09
Digi 24,44,35,0.25,0.36,1.25,1.83
Boomerang,40,19,0.22,0.2,1.12,1.02
AXN,37,25,0.21,0.26,1.06,1.32
Disney Junior,38,20,0.21,0.21,1.07,1.07
Minimax,32,12,0.18,0.13,0.9,0.64
Happy Channel,30,20,0.17,0.21,0.85,1.08
Diva,28,23,0.16,0.24,0.79,1.2
Nickelodeon,28,15,0.16,0.16,0.79,0.81
DigiSport 1,28,20,0.16,0.2,0.79,1.04
Favorit TV,26,9,0.14,0.09,0.73,0.46
Nick JR,24,12,0.13,0.12,0.68,0.62
Eurosport 1,20,13,0.11,0.13,0.56,0.66
Film Cafe,19,11,0.11,0.11,0.53,0.58
Paramount,20,13,0.11,0.13,0.57,0.68
Pro X,17,9,0.09,0.09,0.48,0.48
Taraf TV,15,4,0.09,0.04,0.43,0.2
Pro Gold,15,6,0.09,0.06,0.43,0.3
TNT,17,7,0.09,0.07,0.47,0.37
Kiss TV,15,8,0.08,0.09,0.42,0.44
History,12,9,0.07,0.1,0.33,0.5
Comedy Central,13,11,0.07,0.12,0.38,0.6
DigiSport 2,12,10,0.07,0.1,0.35,0.51
Discovery,9,7,0.05,0.07,0.26,0.36
National Geographic,9,6,0.05,0.07,0.26,0.33
N24 PLUS,9,5,0.05,0.05,0.26,0.24
Nat Geo Wild,9,6,0.05,0.06,0.27,0.33
TLC,8,5,0.05,0.05,0.23,0.27
ZU TV,7,3,0.04,0.03,0.21,0.15
EuroSport 2,7,5,0.04,0.05,0.21,0.26
Look Plus,7,3,0.04,0.03,0.21,0.17
Bollywood TV,8,5,0.04,0.05,0.22,0.24
U TV,6,4,0.03,0.04,0.16,0.22
Telekom Sport 1,5,2,0.03,0.02,0.13,0.1
TV H,5,2,0.03,0.02,0.14,0.1
TV Paprika,6,5,0.03,0.05,0.18,0.28
AMC,6,3,0.03,0.03,0.18,0.16
Music Channel,4,3,0.02,0.03,0.11,0.15
Animal Planet,3,1,0.02,0.01,0.09,0.07
AXN Black,4,3,0.02,0.03,0.12,0.13
AXN White,4,3,0.02,0.03,0.12,0.15
Look TV,3,1,0.02,0.01,0.08,0.05
Hit Music,3,2,0.01,0.03,0.08,0.13
Telekom Sport 2,2,1,0.01,0.01,0.05,0.03
E! Entertainment,2,2,0.01,0.02,0.05,0.09
Da Vinci Learning,1,1,0,0.01,0.02,0.03
