Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,844,403,4.76,4.2,19.12,18.23
Antena 1,530,255,2.99,2.66,12.01,11.55
Kanal D,474,190,2.68,1.99,10.74,8.61
Romania TV,264,126,1.49,1.32,5.99,5.71
Antena 3,201,129,1.13,1.34,4.55,5.82
National TV,114,48,0.64,0.51,2.57,2.19
Prima TV,107,48,0.61,0.5,2.43,2.17
Pro 2,106,50,0.6,0.52,2.39,2.25
Antena Stars,94,40,0.53,0.42,2.13,1.83
DigiSport 1,82,65,0.46,0.67,1.87,2.92
TVR 1,77,38,0.43,0.4,1.74,1.73
Realitatea TV,72,45,0.41,0.47,1.63,2.03
Pro Cinema,72,36,0.41,0.37,1.63,1.61
Happy Channel,66,36,0.37,0.37,1.5,1.63
B1TV,65,39,0.37,0.4,1.47,1.75
ETNO,63,17,0.36,0.17,1.43,0.76
TVR 2,61,31,0.34,0.33,1.38,1.42
Cartoon Network,60,28,0.34,0.29,1.36,1.25
Digi 24,52,37,0.29,0.38,1.17,1.66
Boomerang,50,20,0.28,0.21,1.14,0.89
Minimax,48,19,0.27,0.2,1.08,0.86
AXN,47,30,0.27,0.31,1.07,1.34
Disney,45,19,0.25,0.2,1.02,0.87
Disney Junior,44,18,0.25,0.19,0.99,0.83
Nickelodeon,41,20,0.23,0.21,0.92,0.89
Diva,33,26,0.18,0.27,0.74,1.16
Favorit TV,33,11,0.19,0.11,0.76,0.48
Film Cafe,33,21,0.19,0.22,0.76,0.94
DigiSport 2,25,20,0.14,0.21,0.56,0.93
Paramount,23,15,0.13,0.16,0.53,0.69
TNT,21,10,0.12,0.1,0.47,0.44
Nick JR,21,9,0.12,0.09,0.48,0.4
History,19,15,0.11,0.16,0.42,0.67
Look Plus,18,7,0.1,0.08,0.41,0.33
Pro X,17,10,0.1,0.11,0.4,0.46
Taraf TV,16,4,0.09,0.05,0.35,0.2
Pro Gold,15,7,0.09,0.07,0.35,0.3
Bollywood TV,14,7,0.08,0.08,0.31,0.33
Kiss TV,13,4,0.07,0.05,0.29,0.2
Eurosport 1,13,9,0.07,0.09,0.29,0.39
Discovery,12,9,0.07,0.09,0.28,0.39
TLC,12,8,0.07,0.08,0.28,0.34
Telekom Sport 1,12,5,0.07,0.06,0.26,0.24
Comedy Central,12,10,0.07,0.11,0.27,0.47
ZU TV,11,3,0.06,0.03,0.25,0.15
EuroSport 2,11,7,0.06,0.07,0.24,0.3
N24 PLUS,10,3,0.06,0.03,0.22,0.15
Nat Geo Wild,9,8,0.05,0.08,0.21,0.34
DigiSport 3,9,7,0.05,0.07,0.19,0.3
National Geographic,8,6,0.04,0.06,0.17,0.26
Look Sport,8,2,0.04,0.02,0.18,0.1
TV Paprika,8,7,0.05,0.07,0.19,0.32
TVR 3,8,4,0.05,0.04,0.19,0.17
AMC,7,4,0.04,0.04,0.16,0.18
AXN Black,6,3,0.04,0.03,0.14,0.13
U TV,5,4,0.03,0.04,0.1,0.16
AXN White,5,3,0.03,0.04,0.12,0.15
Music Channel,4,2,0.02,0.02,0.08,0.1
DigiSport 4,4,3,0.02,0.03,0.1,0.14
Animal Planet,3,1,0.02,0.01,0.08,0.05
Hit Music,3,2,0.01,0.02,0.06,0.09
TV H,2,1,0.01,0.01,0.04,0.04
Nasul TV,2,1,0.01,0.01,0.05,0.05
Telekom Sport 3,2,1,0.01,0.01,0.04,0.03
E! Entertainment,1,1,0.01,0.01,0.03,0.06
Rock TV,0,0,0,0,0.01,0.01
Magic TV,0,0,0,0,0.01,0.01
