Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,699,331,3.97,3.45,17.96,16.56
Antena 1,581,294,3.29,3.07,14.91,14.72
Kanal D,379,162,2.15,1.69,9.72,8.11
Romania TV,324,166,1.84,1.74,8.32,8.33
Antena 3,219,132,1.24,1.38,5.62,6.63
Realitatea Plus,83,47,0.47,0.49,2.14,2.35
Happy Channel,81,46,0.46,0.48,2.08,2.29
National TV,72,32,0.41,0.33,1.85,1.59
Digi 24,69,50,0.39,0.52,1.77,2.49
TVR 1,68,31,0.38,0.32,1.74,1.55
Prima TV,66,31,0.37,0.32,1.69,1.55
Pro Cinema,66,26,0.37,0.28,1.69,1.32
Antena Stars,66,33,0.38,0.34,1.7,1.64
DigiSport 1,65,39,0.37,0.41,1.66,1.95
Diva,63,42,0.36,0.44,1.61,2.12
TVR 2,51,27,0.29,0.28,1.32,1.34
Cartoon Network,37,11,0.21,0.11,0.96,0.55
B1TV,35,20,0.2,0.21,0.91,1
Boomerang,35,14,0.2,0.15,0.89,0.7
ETNO,33,9,0.18,0.1,0.83,0.46
Disney Junior,33,16,0.19,0.17,0.85,0.82
Nickelodeon,32,15,0.18,0.16,0.82,0.77
Pro 2,30,14,0.17,0.15,0.77,0.71
Film Cafe,29,14,0.16,0.14,0.74,0.69
AXN,28,19,0.16,0.2,0.73,0.95
Disney,23,13,0.13,0.13,0.58,0.63
Warner TV,21,12,0.12,0.12,0.54,0.59
AMC,20,10,0.11,0.11,0.52,0.52
DigiSport 2,19,13,0.11,0.14,0.49,0.65
Nick JR,18,10,0.1,0.1,0.47,0.48
Minimax,17,4,0.1,0.05,0.43,0.22
TV1000,16,10,0.09,0.11,0.41,0.52
Nicktoons,15,5,0.09,0.05,0.39,0.24
Pro Gold,14,6,0.08,0.06,0.35,0.28
History,14,10,0.08,0.1,0.37,0.49
Favorit TV,13,5,0.08,0.05,0.34,0.25
Comedy Central,13,11,0.07,0.12,0.32,0.57
Discovery,12,9,0.07,0.09,0.3,0.46
Eurosport 1,12,8,0.07,0.08,0.31,0.39
Cinemaraton,12,6,0.07,0.06,0.32,0.3
TeenNick,12,9,0.07,0.09,0.3,0.44
Pro X,11,6,0.06,0.07,0.29,0.32
Bollywood TV,11,4,0.06,0.05,0.27,0.22
National Geographic,9,7,0.05,0.07,0.24,0.33
Taraf TV,9,2,0.05,0.02,0.23,0.08
National Geographic Wild,9,5,0.05,0.06,0.22,0.27
TLC,9,5,0.05,0.05,0.23,0.25
Look Sport+,9,4,0.05,0.04,0.23,0.19
TV Paprika,9,6,0.05,0.06,0.23,0.29
N24 PLUS,8,3,0.04,0.03,0.2,0.14
Viasat History,7,6,0.04,0.07,0.19,0.32
AXN Black,6,3,0.03,0.04,0.15,0.17
AXN White,6,4,0.03,0.04,0.16,0.2
DigiSport 3,6,4,0.04,0.05,0.16,0.22
HGTV,6,5,0.03,0.05,0.14,0.23
Kiss TV,5,3,0.03,0.03,0.14,0.15
Eurosport 2,5,4,0.03,0.04,0.14,0.19
JIM JAM,5,2,0.03,0.02,0.13,0.1
U TV,4,3,0.02,0.03,0.1,0.13
ZU TV,4,2,0.02,0.03,0.11,0.12
Telekom Sport 1,4,2,0.02,0.02,0.1,0.1
Aleph News,4,2,0.02,0.02,0.1,0.11
Music Channel,3,2,0.01,0.02,0.06,0.08
Look Sport,3,1,0.02,0.01,0.07,0.06
DigiSport 4,3,2,0.02,0.02,0.07,0.1
Travel Channel,3,2,0.01,0.02,0.06,0.09
E! Entertainment,2,1,0.01,0.01,0.04,0.06
Magic TV,2,1,0.01,0.01,0.05,0.06
Duck TV,2,2,0.01,0.02,0.06,0.1
Hit Music,1,1,0.01,0.01,0.04,0.05
Rock TV,1,1,0,0.01,0.02,0.04
Telekom Sport 3,1,0,0,0,0.01,0.02
A7 TV,1,0,0,0,0.01,0.02
Metropola TV,0,0,0,0,0.01,0.02
