Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,777,376,4.21,3.72,16.41,15
Antena 1,614,318,3.33,3.15,12.97,12.69
Kanal D,414,203,2.24,2.01,8.74,8.09
Antena 3,335,232,1.82,2.29,7.08,9.24
Romania TV,222,119,1.2,1.18,4.68,4.76
Acasa,156,91,0.84,0.9,3.29,3.62
TVR 1,150,59,0.81,0.59,3.16,2.36
Prima TV,133,62,0.72,0.62,2.81,2.49
National TV,123,62,0.66,0.61,2.59,2.47
B1TV,96,57,0.52,0.57,2.02,2.29
Disney,83,39,0.45,0.39,1.75,1.56
Antena Stars,83,46,0.45,0.46,1.75,1.85
Realitatea TV,77,43,0.42,0.43,1.63,1.73
TVR 2,74,30,0.4,0.3,1.55,1.19
Cartoon Network,67,32,0.36,0.32,1.41,1.28
Digi 24,53,45,0.29,0.45,1.12,1.8
ETNO,52,18,0.28,0.18,1.09,0.72
Pro Cinema,51,27,0.28,0.27,1.08,1.07
Minimax/A+,46,13,0.25,0.13,0.97,0.5
Disney Junior,46,27,0.25,0.27,0.97,1.09
Boomerang,39,22,0.21,0.22,0.82,0.88
Nickelodeon,39,22,0.21,0.22,0.81,0.88
Sport.ro,33,16,0.18,0.16,0.7,0.64
AXN,29,20,0.16,0.2,0.62,0.82
Taraf TV,26,9,0.14,0.08,0.55,0.34
Favorit TV,24,8,0.13,0.08,0.51,0.33
Diva,20,15,0.11,0.15,0.43,0.59
Dolce Sport,21,5,0.11,0.05,0.44,0.19
History Channel,18,15,0.1,0.15,0.38,0.59
Kiss TV,17,8,0.09,0.08,0.37,0.33
Discovery,16,9,0.09,0.09,0.34,0.37
Euforia,17,14,0.09,0.14,0.36,0.56
National Geographic,15,11,0.08,0.11,0.33,0.43
ZU TV,15,7,0.08,0.06,0.31,0.26
Paramount,14,11,0.08,0.11,0.31,0.43
Eurosport,12,9,0.07,0.09,0.25,0.37
Film Cafe,11,7,0.06,0.07,0.24,0.27
TCM,10,7,0.06,0.07,0.22,0.26
U TV,8,6,0.05,0.06,0.18,0.24
EuroSport 2,9,7,0.05,0.07,0.2,0.29
TV Paprika,9,7,0.05,0.07,0.18,0.3
National Geographic Wild,8,5,0.04,0.05,0.17,0.19
Animal Planet,8,4,0.04,0.04,0.17,0.16
AXN Black,7,3,0.04,0.03,0.14,0.14
Acasa Gold,8,4,0.04,0.04,0.16,0.16
MTV Ro,6,3,0.03,0.03,0.12,0.12
National 24 PLUS,5,2,0.03,0.02,0.1,0.07
Music Channel,5,3,0.03,0.03,0.11,0.12
AXN White,6,5,0.03,0.05,0.13,0.19
Universal Channel,6,3,0.03,0.03,0.12,0.13
TV H,6,1,0.03,0.01,0.13,0.04
The Fishing and Hunting Channel,6,3,0.03,0.03,0.13,0.11
AMC,6,3,0.03,0.03,0.13,0.12
TLC,4,4,0.02,0.04,0.09,0.14
Comedy Central Extra,4,4,0.02,0.04,0.09,0.14
CBS Reality,2,1,0.01,0.01,0.03,0.05
Hit Music,2,2,0.01,0.02,0.04,0.07
Others,578,315,3.14,3.13,12.21,12.59
