Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,575,283,3.26,2.96,18.11,16.83
Antena 1,430,228,2.44,2.38,13.55,13.53
Kanal D,334,157,1.89,1.64,10.5,9.31
Romania TV,245,129,1.39,1.35,7.72,7.65
Antena 3,194,117,1.1,1.22,6.09,6.94
Happy Channel,75,48,0.43,0.5,2.37,2.82
DigiSport 1,70,44,0.4,0.46,2.22,2.61
Realitatea Plus,68,39,0.39,0.41,2.15,2.32
TVR 1,62,28,0.35,0.29,1.94,1.67
Digi 24,59,44,0.34,0.46,1.86,2.6
Antena Stars,58,29,0.33,0.31,1.81,1.75
Prima TV,55,28,0.31,0.3,1.74,1.69
National TV,55,27,0.31,0.28,1.72,1.58
TVR 2,41,20,0.23,0.21,1.3,1.22
Pro Cinema,38,17,0.22,0.18,1.2,1.02
Diva,33,24,0.19,0.25,1.05,1.42
Cartoon Network,30,10,0.17,0.1,0.93,0.59
B1TV,27,16,0.15,0.16,0.85,0.93
AXN,27,17,0.16,0.18,0.86,1.01
Boomerang,27,8,0.16,0.08,0.86,0.48
Film Cafe,26,13,0.15,0.14,0.82,0.77
Pro 2,25,13,0.14,0.13,0.8,0.76
Disney Junior,25,14,0.14,0.15,0.79,0.83
Nickelodeon,25,10,0.14,0.1,0.79,0.58
Minimax,20,6,0.11,0.07,0.63,0.37
ETNO,18,6,0.1,0.06,0.57,0.33
AMC,18,9,0.1,0.09,0.57,0.51
TNT,16,9,0.09,0.09,0.5,0.54
Disney,14,6,0.08,0.06,0.44,0.34
DigiSport 2,14,9,0.08,0.09,0.45,0.53
Nick JR,14,7,0.08,0.07,0.43,0.41
Pro X,13,7,0.07,0.08,0.4,0.43
History,13,9,0.07,0.09,0.41,0.53
Cinemaraton,12,5,0.07,0.05,0.38,0.29
Pro Gold,11,5,0.06,0.05,0.36,0.3
Bollywood TV,11,4,0.06,0.04,0.34,0.25
Nicktoons,11,3,0.06,0.04,0.34,0.21
TV1000,11,7,0.06,0.07,0.34,0.42
Favorit TV,10,4,0.06,0.04,0.33,0.24
Comedy Central,10,8,0.05,0.09,0.31,0.49
Eurosport 1,9,7,0.05,0.07,0.29,0.42
TLC,9,4,0.05,0.04,0.27,0.25
Discovery,8,6,0.04,0.07,0.24,0.37
National Geographic,8,6,0.05,0.06,0.27,0.35
AXN White,8,6,0.05,0.06,0.26,0.36
Look Sport+,8,4,0.05,0.04,0.26,0.23
TV Paprika,8,5,0.04,0.05,0.24,0.31
JIM JAM,8,1,0.05,0.01,0.26,0.07
N24 PLUS,7,2,0.04,0.02,0.21,0.13
DigiSport 3,7,5,0.04,0.05,0.22,0.28
National Geographic Wild,6,4,0.04,0.04,0.2,0.24
Eurosport 2,6,4,0.03,0.04,0.18,0.24
HGTV,6,4,0.03,0.04,0.18,0.25
Viasat History,6,4,0.03,0.05,0.18,0.26
Kiss TV,5,3,0.03,0.03,0.16,0.15
ZU TV,5,2,0.03,0.02,0.17,0.14
Telekom Sport 1,5,3,0.03,0.03,0.16,0.16
Taraf TV,4,2,0.03,0.02,0.14,0.09
DigiSport 4,4,3,0.02,0.03,0.12,0.16
U TV,3,3,0.02,0.03,0.11,0.16
AXN Black,3,2,0.02,0.02,0.09,0.1
Look Sport,3,1,0.02,0.01,0.1,0.08
Aleph News,3,2,0.02,0.02,0.1,0.12
Music Channel,2,1,0.01,0.01,0.06,0.05
E! Entertainment,2,1,0.01,0.01,0.06,0.04
Magic TV,2,2,0.01,0.02,0.06,0.09
Travel Channel,2,1,0.01,0.01,0.06,0.07
Hit Music,1,1,0.01,0.01,0.03,0.05
Rock TV,1,1,0,0.01,0.02,0.04
Telekom Sport 3,1,1,0,0.01,0.02,0.03
Duck TV,1,1,0.01,0.01,0.04,0.06
Metropola TV,1,1,0,0.01,0.02,0.04
