Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,163,70,0.86,0.67,3.8,2.9
TVR 2,61,30,0.32,0.29,1.42,1.24
Pro TV,661,357,3.47,3.4,15.39,14.68
Antena 1,578,350,3.04,3.33,13.46,14.38
Acasa,146,81,0.77,0.77,3.4,3.32
Prima TV,171,84,0.9,0.8,3.98,3.43
Kiss TV,19,12,0.1,0.11,0.45,0.49
Disney,102,55,0.53,0.53,2.37,2.27
Discovery,12,7,0.07,0.06,0.29,0.28
Eurosport,15,12,0.08,0.11,0.34,0.47
MTV Ro,8,6,0.04,0.05,0.18,0.23
B1TV,89,61,0.47,0.58,2.06,2.5
Minimax/A+,42,14,0.22,0.14,0.98,0.59
Realitatea TV,92,52,0.48,0.5,2.15,2.15
National Geographic,14,10,0.07,0.1,0.32,0.41
ETNO,60,23,0.31,0.22,1.39,0.93
Diva Universal,26,21,0.14,0.2,0.61,0.88
Cartoon Network,57,24,0.3,0.23,1.33,1
Sport.ro,35,21,0.19,0.2,0.82,0.85
National TV,136,72,0.71,0.69,3.16,2.96
Pro Cinema,41,25,0.22,0.24,0.95,1.03
National 24 PLUS,9,6,0.05,0.05,0.22,0.23
Favorit TV,29,10,0.15,0.1,0.67,0.42
AXN,41,30,0.22,0.29,0.96,1.24
Antena 3,202,137,1.06,1.31,4.69,5.65
U TV,13,9,0.07,0.08,0.3,0.35
Euforia,21,18,0.11,0.17,0.49,0.73
Film Cafe,19,15,0.1,0.14,0.44,0.62
Kanal D,348,183,1.83,1.74,8.1,7.51
Antena 2,41,27,0.21,0.26,0.95,1.12
Sport 1/Megamax,0,0,0,0,0.01,0.01
Taraf TV,24,11,0.13,0.11,0.57,0.46
TV Neptun,4,2,0.02,0.02,0.09,0.08
CBS Reality,2,2,0.01,0.02,0.05,0.07
National Geographic Wild,7,5,0.04,0.05,0.17,0.22
Music Channel,10,6,0.05,0.05,0.22,0.23
gspTV,15,7,0.08,0.07,0.35,0.31
Animal Planet,7,4,0.04,0.04,0.16,0.18
AXN Black,6,4,0.03,0.04,0.14,0.16
AXN White,7,4,0.03,0.04,0.15,0.18
Universal Channel,22,16,0.12,0.15,0.52,0.66
Mynele TV,17,4,0.09,0.04,0.4,0.15
EuroSport 2,8,6,0.04,0.06,0.19,0.24
TCM,10,5,0.06,0.05,0.24,0.22
TLC,3,2,0.02,0.02,0.07,0.08
Dolce Sport,15,5,0.08,0.05,0.35,0.22
Boomerang,38,19,0.2,0.18,0.88,0.78
Romania TV,126,75,0.66,0.71,2.94,3.07
Others,613,363,3.22,3.46,14.28,14.95
TVH2O,3,1,0.02,0.01,0.07,0.06
Disney Junior,60,37,0.31,0.36,1.4,1.53
Hit Music,3,3,0.02,0.03,0.07,0.12
Acasa Gold,10,5,0.05,0.05,0.23,0.22
Look TV,5,3,0.03,0.03,0.12,0.11
TV Paprika,8,6,0.04,0.06,0.18,0.24
History Channel,15,13,0.08,0.12,0.36,0.53
PV TV,4,2,0.02,0.02,0.1,0.08
