Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,676,374,3.69,3.75,16.01,16.12
Antena 1,575,317,3.14,3.18,13.64,13.67
Kanal D,409,192,2.23,1.92,9.69,8.27
Romania TV,193,117,1.05,1.18,4.58,5.06
Antena 3,184,128,1,1.28,4.36,5.51
National TV,118,52,0.64,0.53,2.8,2.26
Prima TV,107,52,0.59,0.52,2.55,2.23
TVR 1,101,49,0.55,0.49,2.39,2.11
Disney,86,39,0.47,0.4,2.03,1.7
Antena Stars,80,44,0.44,0.44,1.91,1.9
Acasa,79,41,0.43,0.41,1.88,1.76
Cartoon Network,69,27,0.38,0.27,1.64,1.18
B1TV,64,40,0.35,0.4,1.51,1.74
Pro Cinema,62,26,0.34,0.26,1.48,1.13
DigiSport 1,57,44,0.31,0.45,1.36,1.92
Disney Junior,51,29,0.28,0.29,1.2,1.25
ETNO,50,18,0.27,0.18,1.18,0.76
Boomerang,47,24,0.26,0.24,1.11,1.03
AXN,45,32,0.25,0.32,1.08,1.38
Minimax/A+,43,16,0.23,0.16,1.02,0.68
Realitatea TV,39,26,0.22,0.26,0.93,1.13
Digi 24,36,30,0.19,0.3,0.84,1.28
Favorit TV,32,9,0.17,0.09,0.75,0.4
TVR 2,27,17,0.15,0.17,0.64,0.75
Dolce Sport,27,10,0.15,0.1,0.64,0.44
Sport.ro,24,13,0.13,0.13,0.58,0.57
Happy Channel,24,17,0.13,0.17,0.58,0.75
Kiss TV,22,12,0.12,0.12,0.53,0.5
Eurosport 1,21,15,0.12,0.15,0.51,0.66
Nickelodeon,21,13,0.12,0.13,0.51,0.57
Diva,20,17,0.11,0.17,0.47,0.72
Taraf TV,19,7,0.11,0.07,0.46,0.32
Paramount,21,15,0.11,0.15,0.5,0.65
DigiSport 2,15,12,0.08,0.12,0.35,0.54
History Channel,12,10,0.07,0.1,0.28,0.45
National Geographic,11,8,0.06,0.08,0.27,0.36
Film Cafe,11,7,0.06,0.07,0.27,0.31
National Geographic Wild,11,8,0.06,0.08,0.25,0.33
ZU TV,12,6,0.06,0.06,0.28,0.25
TNT,12,5,0.06,0.05,0.28,0.21
Discovery,8,6,0.05,0.06,0.2,0.24
U TV,9,8,0.05,0.08,0.22,0.33
Acasa Gold,10,5,0.05,0.05,0.24,0.2
TV Paprika,9,7,0.05,0.07,0.21,0.31
EuroSport 2,7,6,0.04,0.06,0.17,0.25
Music Channel,5,3,0.03,0.03,0.13,0.15
AXN White,5,3,0.03,0.03,0.12,0.15
Comedy Central Extra,5,4,0.03,0.04,0.12,0.18
National 24 PLUS,3,1,0.02,0.01,0.07,0.04
Animal Planet,3,2,0.02,0.02,0.07,0.08
AXN Black,4,2,0.02,0.03,0.09,0.11
TLC,3,2,0.02,0.02,0.08,0.09
TV H,3,1,0.02,0.01,0.08,0.06
Hit Music,3,3,0.02,0.03,0.08,0.11
AMC,4,3,0.02,0.03,0.1,0.11
MTV Ro,2,0,0.01,0,0.05,0.01
TV Neptun,2,1,0.01,0.01,0.06,0.04
Nasul TV,2,2,0.01,0.02,0.06,0.07
Others,614,339,3.35,3.4,14.56,14.64
