Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,817,430,4.42,4.26,17.64,17.01
Antena 1,584,334,3.16,3.31,12.6,13.2
Antena 3,264,183,1.43,1.82,5.7,7.25
Kanal D,325,162,1.76,1.61,7.02,6.41
Prima TV,165,82,0.89,0.81,3.56,3.23
Romania TV,164,82,0.88,0.81,3.53,3.22
National TV,142,71,0.77,0.71,3.07,2.82
B1TV,108,66,0.58,0.65,2.32,2.61
Acasa,132,65,0.71,0.64,2.85,2.55
TVR 1,138,61,0.75,0.6,2.98,2.39
Disney,94,44,0.51,0.44,2.02,1.75
Realitatea TV,85,44,0.46,0.44,1.84,1.75
Antena Stars,68,42,0.37,0.41,1.46,1.66
TVR 2,78,40,0.42,0.39,1.69,1.57
Disney Junior,57,37,0.31,0.37,1.24,1.48
Digi 24,34,26,0.19,0.26,0.74,1.03
AXN,35,25,0.19,0.25,0.76,1
Nickelodeon,37,26,0.2,0.25,0.8,1.01
Euforia,26,22,0.14,0.22,0.57,0.88
Diva Universal,27,21,0.14,0.21,0.57,0.84
Cartoon Network,55,21,0.3,0.21,1.18,0.84
ETNO,70,21,0.38,0.2,1.5,0.81
Sport.ro,39,19,0.21,0.19,0.84,0.77
Pro Cinema,34,18,0.18,0.18,0.74,0.72
Boomerang,37,18,0.2,0.17,0.8,0.7
Universal Channel,19,15,0.1,0.15,0.41,0.59
History Channel,17,14,0.09,0.14,0.37,0.56
Kiss TV,22,13,0.12,0.13,0.47,0.52
Minimax/A+,46,13,0.25,0.13,0.99,0.53
Eurosport,14,11,0.08,0.11,0.31,0.43
National Geographic,14,11,0.08,0.1,0.3,0.42
Acasa Gold,17,11,0.09,0.1,0.38,0.42
Favorit TV,26,9,0.14,0.09,0.57,0.35
Taraf TV,23,9,0.13,0.09,0.5,0.37
Discovery,18,8,0.1,0.08,0.38,0.32
U TV,11,8,0.06,0.08,0.25,0.31
EuroSport 2,11,8,0.06,0.08,0.23,0.32
TV Paprika,10,8,0.05,0.08,0.21,0.32
MTV Ro,8,6,0.04,0.06,0.18,0.23
Music Channel,10,6,0.05,0.06,0.22,0.23
ZU TV,12,6,0.07,0.06,0.26,0.23
TCM,12,6,0.07,0.06,0.27,0.26
Film Cafe,11,5,0.06,0.05,0.23,0.2
National Geographic Wild,9,5,0.05,0.05,0.2,0.2
Animal Planet,7,4,0.04,0.04,0.16,0.16
AXN White,6,4,0.03,0.04,0.13,0.16
Dolce Sport,16,4,0.09,0.04,0.35,0.15
National 24 PLUS,7,3,0.04,0.03,0.14,0.12
AXN Black,5,3,0.02,0.03,0.1,0.12
Mynele TV,20,3,0.11,0.03,0.43,0.14
Hit Music,3,3,0.02,0.03,0.06,0.1
Comedy Central Extra,4,3,0.02,0.03,0.08,0.12
TV Neptun,4,2,0.02,0.02,0.09,0.09
CBS Reality,2,2,0.01,0.02,0.05,0.06
TLC,3,2,0.02,0.02,0.07,0.09
TV H,5,2,0.03,0.02,0.11,0.07
PV TV,6,2,0.03,0.02,0.13,0.1
Sport 1/Megamax,2,1,0.01,0.01,0.05,0.06
VH1,2,1,0.01,0.01,0.04,0.05
Others,614,357,3.32,3.53,13.26,14.11
