Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,716,360,4.07,3.78,19.3,18.34
Antena 1,488,240,2.78,2.52,13.15,12.23
Kanal D,424,189,2.41,1.98,11.42,9.61
Romania TV,263,141,1.5,1.48,7.09,7.17
Antena 3,182,127,1.04,1.33,4.91,6.45
National TV,99,46,0.56,0.48,2.67,2.33
Digi 24,91,69,0.52,0.73,2.45,3.52
Prima TV,83,40,0.47,0.42,2.24,2.02
TVR 1,70,34,0.4,0.36,1.88,1.74
B1TV,60,38,0.34,0.4,1.63,1.92
Pro Cinema,57,25,0.32,0.26,1.53,1.28
Happy Channel,57,32,0.32,0.33,1.53,1.61
Nickelodeon,56,26,0.32,0.27,1.5,1.33
TVR 2,55,28,0.31,0.3,1.48,1.45
Cartoon Network,50,21,0.28,0.22,1.34,1.06
Realitatea Plus,50,28,0.28,0.29,1.34,1.41
Diva,48,38,0.27,0.4,1.29,1.94
Antena Stars,45,20,0.26,0.21,1.22,1
Boomerang,41,19,0.23,0.2,1.09,0.95
Pro 2,37,16,0.21,0.17,1.01,0.84
AXN,34,22,0.19,0.23,0.91,1.12
ETNO,31,10,0.18,0.11,0.84,0.53
Disney,29,13,0.17,0.14,0.78,0.66
Film Cafe,28,16,0.16,0.16,0.76,0.79
Minimax,26,11,0.15,0.11,0.71,0.55
Disney Junior,24,13,0.14,0.14,0.66,0.67
TNT,22,14,0.13,0.15,0.6,0.73
Favorit TV,19,9,0.11,0.09,0.51,0.43
History,19,14,0.11,0.15,0.5,0.73
AMC,19,9,0.11,0.09,0.51,0.44
Nick JR,18,8,0.1,0.08,0.48,0.4
Paramount,16,11,0.09,0.11,0.44,0.54
Nicktoons,16,7,0.09,0.07,0.44,0.35
National Geographic,15,9,0.08,0.09,0.39,0.45
TV1000,14,9,0.08,0.09,0.39,0.45
TLC,13,10,0.07,0.1,0.35,0.5
National Geographic Wild,12,7,0.07,0.08,0.32,0.37
Comedy Central,12,9,0.07,0.09,0.32,0.44
DigiSport 1,12,9,0.07,0.09,0.31,0.45
Kiss TV,11,6,0.06,0.07,0.3,0.33
Bollywood TV,11,8,0.06,0.09,0.3,0.42
Pro X,10,6,0.06,0.06,0.28,0.31
N24 PLUS,10,3,0.06,0.03,0.28,0.16
TV Paprika,10,7,0.06,0.07,0.27,0.36
Discovery,9,7,0.05,0.08,0.25,0.38
Pro Gold,9,3,0.05,0.04,0.25,0.18
TVR 3,9,5,0.05,0.05,0.24,0.25
Taraf TV,8,2,0.05,0.02,0.22,0.12
U TV,6,4,0.03,0.04,0.16,0.2
DigiSport 2,6,4,0.03,0.04,0.17,0.2
ZU TV,5,2,0.03,0.02,0.12,0.1
Music Channel,4,2,0.03,0.02,0.12,0.09
AXN White,4,2,0.02,0.02,0.1,0.11
JIM JAM,4,2,0.02,0.02,0.11,0.11
Eurosport 1,3,2,0.02,0.02,0.09,0.1
AXN Black,3,2,0.02,0.02,0.09,0.08
Eurosport 2,3,2,0.02,0.02,0.08,0.1
Hit Music,3,2,0.02,0.02,0.08,0.11
Look Plus,3,1,0.01,0.01,0.07,0.07
Magic TV,3,2,0.02,0.03,0.08,0.13
Travel Channel,3,3,0.02,0.03,0.08,0.14
Look Sport,2,0,0.01,0,0.05,0.01
E! Entertainment,2,1,0.01,0.02,0.04,0.07
DigiSport 3,2,1,0.01,0.01,0.05,0.07
Animal Planet,1,1,0.01,0.01,0.03,0.04
Telekom Sport 1,1,0,0,0,0.02,0.02
Rock TV,1,1,0.01,0.01,0.03,0.05
DigiSport 4,1,1,0.01,0.01,0.04,0.04
Duck TV,1,1,0.01,0.01,0.04,0.05
Telekom Sport 3,0,0,0,0,0.01,0
