Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,655,319,3.72,3.33,18.04,16.64
Antena 1,487,261,2.76,2.73,13.41,13.62
Kanal D,375,168,2.13,1.75,10.33,8.75
Romania TV,286,153,1.62,1.59,7.87,7.96
Antena 3,217,135,1.23,1.41,5.97,7.02
Realitatea Plus,80,45,0.45,0.47,2.19,2.34
DigiSport 1,77,45,0.44,0.47,2.13,2.36
Happy Channel,76,46,0.43,0.48,2.1,2.42
TVR 1,71,32,0.41,0.33,1.97,1.65
Digi 24,71,51,0.4,0.53,1.95,2.64
National TV,68,30,0.38,0.31,1.86,1.55
Antena Stars,65,31,0.37,0.33,1.78,1.64
Prima TV,63,30,0.36,0.32,1.73,1.58
Pro Cinema,52,24,0.29,0.25,1.43,1.24
Diva,50,34,0.28,0.36,1.38,1.8
TVR 2,48,24,0.27,0.25,1.31,1.25
B1TV,35,20,0.2,0.21,0.97,1.03
Cartoon Network,32,12,0.18,0.12,0.87,0.6
Film Cafe,31,14,0.18,0.15,0.86,0.75
Boomerang,30,12,0.17,0.12,0.84,0.61
AXN,29,18,0.16,0.19,0.79,0.95
Disney Junior,29,15,0.16,0.16,0.79,0.81
Nickelodeon,29,14,0.16,0.15,0.8,0.74
DigiSport 2,26,18,0.15,0.19,0.72,0.94
Disney,23,13,0.13,0.13,0.64,0.65
Pro 2,22,12,0.13,0.13,0.62,0.64
AMC,22,12,0.13,0.12,0.61,0.6
Warner TV,22,11,0.12,0.12,0.61,0.59
Minimax,20,6,0.12,0.06,0.56,0.32
ETNO,20,7,0.11,0.07,0.54,0.35
Nick JR,18,10,0.1,0.11,0.51,0.53
History,15,11,0.09,0.11,0.42,0.57
Nicktoons,14,5,0.08,0.05,0.37,0.26
Pro Gold,13,6,0.07,0.06,0.35,0.31
TV1000,13,9,0.08,0.09,0.37,0.46
Favorit TV,12,4,0.07,0.04,0.34,0.22
Comedy Central,12,10,0.07,0.1,0.33,0.52
Cinemaraton,12,5,0.07,0.05,0.33,0.25
Bollywood TV,11,5,0.06,0.05,0.3,0.26
Pro X,10,7,0.06,0.07,0.29,0.34
TV Paprika,10,6,0.05,0.06,0.26,0.32
TeenNick,10,8,0.06,0.08,0.27,0.41
National Geographic,9,6,0.05,0.07,0.25,0.33
TLC,9,5,0.05,0.05,0.25,0.27
Discovery,8,7,0.05,0.07,0.23,0.36
Eurosport 1,8,6,0.05,0.06,0.23,0.29
Taraf TV,8,2,0.05,0.02,0.22,0.09
National Geographic Wild,8,5,0.04,0.05,0.21,0.26
Look Sport+,8,4,0.05,0.04,0.22,0.2
HGTV,8,6,0.04,0.06,0.21,0.32
N24 PLUS,7,3,0.04,0.03,0.2,0.14
DigiSport 3,7,4,0.04,0.05,0.2,0.23
Viasat History,7,6,0.04,0.06,0.19,0.3
Kiss TV,6,3,0.03,0.03,0.16,0.14
JIM JAM,6,2,0.04,0.02,0.18,0.1
ZU TV,5,3,0.03,0.03,0.14,0.16
AXN Black,5,3,0.03,0.03,0.13,0.14
AXN White,5,3,0.03,0.03,0.14,0.17
Telekom Sport 1,4,2,0.02,0.02,0.12,0.12
DigiSport 4,4,3,0.02,0.03,0.11,0.15
U TV,3,2,0.02,0.02,0.08,0.09
Eurosport 2,3,2,0.02,0.02,0.09,0.11
Look Sport,3,1,0.02,0.01,0.08,0.06
Aleph News,3,2,0.02,0.02,0.09,0.11
Music Channel,2,1,0.01,0.01,0.05,0.07
Magic TV,2,1,0.01,0.01,0.05,0.07
Travel Channel,2,1,0.01,0.01,0.05,0.06
Duck TV,2,2,0.01,0.02,0.05,0.08
Hit Music,1,1,0.01,0.01,0.03,0.04
E! Entertainment,1,1,0.01,0.01,0.04,0.04
Rock TV,1,1,0,0.01,0.02,0.04
Metropola TV,1,0,0,0.01,0.02,0.03
Telekom Sport 3,0,0,0,0,0.01,0.02
