Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,220,90,1.16,0.86,4.2,3.29
TVR 2,67,33,0.35,0.32,1.29,1.21
Pro TV,927,479,4.87,4.57,17.7,17.47
Antena 1,659,354,3.46,3.37,12.58,12.89
Acasa,211,93,1.11,0.88,4.02,3.38
Prima TV,199,92,1.05,0.87,3.8,3.34
Kiss TV,22,13,0.12,0.12,0.42,0.47
Disney,125,63,0.66,0.6,2.39,2.29
Discovery,18,9,0.1,0.09,0.35,0.33
Eurosport,15,12,0.08,0.11,0.28,0.42
MTV Ro,12,8,0.06,0.08,0.23,0.3
B1TV,102,65,0.53,0.62,1.94,2.38
Minimax/A+,71,19,0.37,0.18,1.36,0.68
Realitatea TV,94,49,0.49,0.47,1.79,1.8
National Geographic,20,14,0.11,0.13,0.39,0.51
ETNO,92,33,0.48,0.31,1.75,1.2
Diva Universal,28,22,0.15,0.21,0.53,0.81
Cartoon Network,70,28,0.37,0.26,1.34,1.01
Sport.ro,46,26,0.24,0.24,0.87,0.93
National TV,167,82,0.88,0.78,3.19,2.99
Pro Cinema,53,29,0.28,0.27,1.02,1.05
National 24 PLUS,13,7,0.07,0.07,0.24,0.26
Favorit TV,33,10,0.17,0.1,0.62,0.37
AXN,36,27,0.19,0.26,0.69,1
Antena 3,248,173,1.3,1.65,4.74,6.31
U TV,15,10,0.08,0.09,0.28,0.35
Euforia,23,19,0.12,0.18,0.44,0.69
Film Cafe,19,15,0.1,0.14,0.36,0.53
Kanal D,469,219,2.47,2.09,8.95,7.97
Antena 2,49,31,0.26,0.29,0.94,1.12
Sport 1/Megamax,1,1,0.01,0.01,0.02,0.03
MGM,11,4,0.06,0.04,0.21,0.16
Taraf TV,29,12,0.15,0.11,0.55,0.43
TV Neptun,4,2,0.02,0.02,0.07,0.08
CBS Reality,3,3,0.02,0.03,0.06,0.11
National Geographic Wild,10,6,0.05,0.06,0.19,0.23
Music Channel,11,5,0.06,0.05,0.21,0.17
gspTV,17,8,0.09,0.07,0.32,0.29
Animal Planet,7,4,0.04,0.04,0.14,0.14
AXN Sci Fi,5,4,0.02,0.04,0.09,0.14
AXN Crime,6,4,0.03,0.04,0.12,0.14
Universal Channel,20,14,0.1,0.14,0.38,0.52
Mynele TV,13,4,0.07,0.04,0.24,0.14
EuroSport 2,9,6,0.05,0.06,0.17,0.23
TCM,12,6,0.06,0.06,0.23,0.22
TLC,4,3,0.02,0.03,0.07,0.1
Dolce Sport,16,6,0.08,0.06,0.3,0.22
Boomerang,51,31,0.27,0.3,0.98,1.14
Romania TV,131,73,0.69,0.7,2.51,2.67
Others,641,353,3.37,3.37,12.24,12.88
TVH2O,1,1,0.01,0.01,0.03,0.03
Disney Junior,60,38,0.32,0.36,1.15,1.39
Hit Music,4,4,0.02,0.04,0.08,0.15
Acasa Gold,12,4,0.06,0.04,0.22,0.14
Look TV,4,2,0.02,0.02,0.07,0.08
TV Paprika,9,7,0.05,0.06,0.18,0.24
History Channel,16,13,0.09,0.13,0.31,0.48
PV TV,4,2,0.02,0.02,0.08,0.06
