Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
TVR 1,166,71,0.87,0.68,3.82,3
TVR 2,57,27,0.3,0.25,1.31,1.12
Pro TV,690,375,3.63,3.58,15.91,15.73
Antena 1,578,328,3.04,3.13,13.33,13.76
Acasa,186,85,0.98,0.81,4.28,3.58
Prima TV,162,77,0.85,0.73,3.74,3.22
Kiss TV,23,14,0.12,0.14,0.53,0.6
Disney,110,56,0.58,0.53,2.53,2.34
Discovery,13,7,0.07,0.06,0.3,0.28
Eurosport,17,13,0.09,0.13,0.38,0.55
MTV Ro,11,8,0.06,0.08,0.25,0.34
B1TV,79,52,0.42,0.49,1.83,2.17
Minimax/A+,54,15,0.28,0.14,1.24,0.63
Realitatea TV,77,40,0.4,0.38,1.77,1.69
National Geographic,16,11,0.08,0.11,0.37,0.47
ETNO,72,27,0.38,0.26,1.65,1.14
Diva Universal,24,20,0.13,0.19,0.55,0.82
Cartoon Network,58,23,0.31,0.22,1.34,0.97
Sport.ro,38,21,0.2,0.2,0.87,0.86
National TV,151,77,0.79,0.74,3.48,3.24
Pro Cinema,43,23,0.23,0.22,1,0.97
National 24 PLUS,10,6,0.05,0.06,0.22,0.26
Favorit TV,23,9,0.12,0.09,0.53,0.39
AXN,34,25,0.18,0.24,0.79,1.04
Antena 3,197,140,1.04,1.33,4.54,5.86
U TV,13,8,0.07,0.08,0.3,0.34
Euforia,19,16,0.1,0.15,0.44,0.67
Film Cafe,19,16,0.1,0.15,0.44,0.68
Kanal D,408,209,2.15,1.99,9.4,8.77
Antena 2,48,30,0.25,0.29,1.1,1.27
Sport 1/Megamax,2,1,0.01,0.01,0.04,0.05
MGM,7,4,0.04,0.04,0.16,0.16
Taraf TV,24,11,0.13,0.1,0.55,0.44
TV Neptun,4,2,0.02,0.02,0.09,0.09
CBS Reality,3,3,0.02,0.03,0.07,0.11
National Geographic Wild,8,5,0.04,0.05,0.17,0.21
Music Channel,10,5,0.05,0.04,0.23,0.2
gspTV,13,6,0.07,0.05,0.29,0.24
Animal Planet,6,4,0.03,0.04,0.15,0.16
AXN Sci Fi,4,3,0.02,0.03,0.1,0.13
AXN Crime,7,5,0.03,0.05,0.15,0.21
Universal Channel,18,14,0.1,0.13,0.42,0.59
Mynele TV,13,5,0.07,0.05,0.31,0.21
EuroSport 2,8,6,0.04,0.05,0.19,0.24
TCM,8,5,0.04,0.05,0.19,0.22
TLC,3,2,0.02,0.02,0.07,0.09
Dolce Sport,15,6,0.08,0.05,0.35,0.23
Boomerang,44,26,0.23,0.25,1.02,1.11
Romania TV,95,54,0.5,0.52,2.18,2.28
Others,560,331,2.94,3.16,12.9,13.89
TVH2O,2,1,0.01,0.01,0.04,0.04
Disney Junior,47,28,0.25,0.27,1.09,1.19
Hit Music,4,4,0.02,0.04,0.09,0.15
Acasa Gold,11,4,0.06,0.04,0.26,0.16
Look TV,2,1,0.01,0.01,0.05,0.06
TV Paprika,7,5,0.03,0.05,0.15,0.21
History Channel,14,12,0.07,0.11,0.32,0.49
PV TV,4,2,0.02,0.02,0.08,0.07
